"Data Year","ID","Property Name","Address","ZIP Code","Community Area","Primary Property Type","Gross Floor Area - Buildings (sq ft)","Year Built","# of Buildings","ENERGY STAR Score","Electricity Use (kBtu)","Natural Gas Use (kBtu)","District Steam Use (kBtu)","District Chilled Water Use (kBtu)","All Other Fuel Use (kBtu)","Site EUI (kBtu/sq ft)","Source EUI (kBtu/sq ft)","Weather Normalized Site EUI (kBtu/sq ft)","Weather Normalized Source EUI (kBtu/sq ft)","Total GHG Emissions (Metric Tons CO2e)","GHG Intensity (kg CO2e/sq ft)","Latitude","Longitude","Location"
"2016","124308","Walmart Supercenter #01-5965","10900 S. Doty Avenue","60628","PULLMAN","Wholesale Club/Supercenter","155,765","2013","1","36","13,898,164.4","7,139,806.7",,,,"135.1","328.3","139.8","331","2,941","18.9","41.693399","-87.598728","POINT (-87.598728 41.693399)"
"2016","251322","990 West Fullerton Building","990 West Fullerton Ave","60614","LINCOLN PARK","College/University","91,963","1980","1",,"3,788,101.3","2,580,744.1",,,,"69.3","158.8","73.8","163.6","835.3","9.1","41.925418","-87.653232","POINT (-87.653232 41.925418)"
"2016","101770","10 and 30 South Wacker","10 South Wacker Drive","60606","LOOP","Office","2,662,457","1983","1","77","180,688,908.7","2,207,050.5",,,"76,507.2","68.7","214","68.7","214","33,427.7","12.6","41.8816073","-87.63751717","POINT (-87.63751717 41.8816073)"
"2016","175474","West Side Realty Corporation (300 S. Ashland Ave.)","300 S. Ashland Ave.","60612","NEAR WEST SIDE","Office","65,885","1968","1","24","6,175,665.4",,,,,"93.7","294.3","93.7","294.3","1,138.3","17.3","41.877588","-87.667672","POINT (-87.667672 41.877588)"
"2016","251233","Clybourn","2601 N. Clybourn Street","60614","LINCOLN PARK","Retail Store","144,180","1996","1","75","7,043,787.4","543,924.8",,,,"52.6","157.4","52.7","156.4","1,327.2","9.2","41.93117753","-87.67426011","POINT (-87.67426011 41.93117753)"
"2016","253963","Montclare Senior Residences of Avalon Park Phase II","1210 E. 78th Street","60619","Avalon Park","Multifamily Housing","102,573","2015","1","98","1,752,430.8","3,515,352.3",,,,"51.4","89.6","54.9","93.4","509.7","5","41.74401302","-87.60549928","POINT (-87.60549928 41.74401302)"
"2016","104261","500 W. Belmont Apartments","500 W. Belmont Ave.","60642","LAKE VIEW","Multifamily Housing","54,927","1965","1","58","915,647.7","3,702,833.9",,,,"84.1","123.1","88.5","123.4","365.4","6.7","41.9398511","-87.65844752","POINT (-87.65844752 41.9398511)"
"2016","175590","Hampton Inn Chicago Downtown/N Loop/Michigan Ave","68 East Wacker Place","60601","LOOP","Hotel","85,961","1928","1","45","4,987,743.5","3,319,089",,,,"96.6","222.7","99.8","227.4","1,095.6","12.7","41.88570364","-87.62407853","POINT (-87.62407853 41.88570364)"
"2016","260132","Q11970","2401 W Grace","60618","NORTH CENTER","Office","93,084","2007","1","90","3,050,289.1","3,191,239.3",,,,"67.1","138.9","71.6","143.7","733.5","7.9","41.95003548","-87.68877942","POINT (-87.68877942 41.95003548)"
"2016","251764","Parkside Nine Phase II Condominium","544 W Oak","60610","NEAR NORTH SIDE","Multifamily Housing","166,322","2011","1","97","2,453,377.1","6,240,754.1",,,,"52.3","85.7","56.2","89.9","783.7","4.7","41.90045766","-87.64172846","POINT (-87.64172846 41.90045766)"
"2016","251277","Scientific Games-2718 Roscoe","2718 Roscoe St","60618","AVONDALE","Office","121,666","2012","1","47","9,637,995.8","1,083,308.6",,,,"88.1","258.1","88.9","258.9","1,834","15.1","41.942829","-87.696215","POINT (-87.696215 41.942829)"
"2016","250091","Judge Green Apartments","4030 S. Lake park Ave","60653","OAKLAND","Multifamily Housing","130,000","1967","1","78","2,016,363","8,193,820.4",,,,"78.5","114.9","84.1","120.8","806.9","6.2","41.82184335","-87.6024592","POINT (-87.6024592 41.82184335)"
"2016","171880","Noble Street Lofts Condominium Association, Inc.","515-517 N. Noble St.","60642","WEST TOWN","Multifamily Housing","66,000","1990","1","76","1,614,933.7","2,046,254.5",,,,"55.5","109.4","57.6","109.7","406.4","6.2","41.89983093","-87.65764114","POINT (-87.65764114 41.89983093)"
"2016","250139","Domestic Violence Courthouse","555 W. Harrison St.","60607","NEAR WEST SIDE","Courthouse","187,268","1890","1","65","10,014,134.7","8,144,737.6",,,,"97","213.6","103.9","220.8","2,278.4","12.2","41.874353","-87.641661","POINT (-87.641661 41.874353)"
"2016","160085","The Clare","55 E Pearson St.","60611","NEAR NORTH SIDE","Multifamily Housing","628,040","2008","1","1","31,261,006.7","53,465,505.6",,,,"134.9","245.7","141.6","251.6","8,601.9","13.7","41.89727458","-87.62635153","POINT (-87.62635153 41.89727458)"
"2016","253964","7150 Cyril Court Apartments","7150 S. Cyril Court","60649","SOUTH SHORE","Multifamily Housing","73,354","1929","1","52","1,191,238.4","6,896,702.6",,,,"110.3","149.7","122.1","162.2","585.9","8","41.76263015","-87.57255287","POINT (-87.57255287 41.76263015)"
"2016","252125","2013-Chicago Downtown - Franklin/Madison (RR ONLY)","1 South Franklin Street","60606","LOOP","Hotel","140,633","2009","1","4","8,507,637.8","9,351,887.1",,"2,786,627.7",,"146.8","279.6","149.7","282.7","2,211.7","15.7","41.88154158","-87.63527411","POINT (-87.63527411 41.88154158)"
"2016","158224","The Shoreham Apartments","400 E. South Water St.","60601","LOOP","Multifamily Housing","528,552","2005","1",,"14,081,276.2","25,763,361",,,,"75.4","134.8","79.6","139.2","3,963.9","7.5","41.88673811","-87.61677077","POINT (-87.61677077 41.88673811)"
"2016","175603","Gateway Centre","1701-1741 W. Howard","60626","ROGERS PARK","Strip Mall","176,761","1980","2",,"13,991,039.1","5,681,172.3",,,,"111.3","282.3","114.8","285.9","2,880.6","16.3","42.019356","-87.67389","POINT (-87.67389 42.019356)"
"2016","101788","333 West Wacker","333 West Wacker Drive","60606","LOOP","Office","1,012,961","1982","1","87","53,800,040.7",,,,"103,500","53.2","166.9","53.2","166.9","9,924.2","9.8","41.88609655","-87.63591682","POINT (-87.63591682 41.88609655)"
"2016","239630","Plaza 440 Private Residences","440 N. Wabash","60611","NEAR NORTH SIDE","Multifamily Housing","515,474","1991","1","18","18,168,214.2","35,689,229.5",,,,"104.5","183.4","113.2","191.6","5,244.4","10.2","41.89032564","-87.62711962","POINT (-87.62711962 41.89032564)"
"2016","100485","1900 W. Farwell, LLC","1900 1910 W. Farwell Ave.","60626","ROGERS PARK","Multifamily Housing","73,000","1915","1","82","739,233.7","3,724,995.6",,,,"61.2","85.4","64.5","88.6","334.1","4.6","42.01036185","-87.66829765","POINT (-87.66829765 42.01036185)"
"2016","253967","Twenty N. State Condominium Association","20 N. State St.","60602","Loop","Retail Store","277,896","1932","1","82","7,959,046.2","10,447,142.1",,,,"66.2","129.4","70.8","134.8","2,021.9","7.3","41.8833006","-87.62933043","POINT (-87.62933043 41.8833006)"
"2016","172066","Saint Bede the Venerable Parish","4400 West 83rd Street","60652","ASHBURN","K-12 School","145,384","1953","4",,"1,650,251.7","4,827,864.3",,,,"44.6","70.5","49.6","75.8","560.6","3.9","41.74245442","-87.73186844","POINT (-87.73186844 41.74245442)"
"2016","254096","Belden Centre Condominiums","350 W Belden Ave","60614","Lincoln Park","Multifamily Housing","140,220","1955","1",,"3,538,970.8","7,862,999.8",,,,"81.3","138.1","86.8","143.8","1,069.9","7.6","41.9217371","-87.65392","POINT (-87.65392 41.9217371)"
"2016","150324","201 W Grand Ave","201 W Grand Ave/516 N. Wells","60654","NEAR NORTH SIDE","Multifamily Housing","96,000","2003","1","77","2,727,337.8","4,224,982.4",,,,"72.4","135.4","76.2","137.4","727.1","7.6","41.89198218","-87.63699623","POINT (-87.63699623 41.89198218)"
"2016","172812","4336-44 S Drexel Blvd","4336-44 S Drexel Blvd","60653","KENWOOD","Multifamily Housing","82,960","1926","1","93","845,978.1","4,551,233.5",,,,"65.1","89.6","71.6","96.5","397.7","4.8","41.82021138","-87.61246867","POINT (-87.61246867 41.82021138)"
"2016","159897","Shoreland","5454 S Shore Drive","60615","HYDE PARK","Multifamily Housing","638,697","1925","1","96","9,505,327","13,910,999.5",,,,"36.7","69.6","38.2","69.9","2,490.9","3.9","41.79623549","-87.58150358","POINT (-87.58150358 41.79623549)"
"2016","260101","4747 S King Dr - 2017 Resubmit","4747 S. Martin Luther King Drive","60615","GRAND BOULEVARD","Multifamily Housing","245,150","1973","1","100","3,373,335.2",,,,,"13.8","43.2","13.1","41","623.7","2.5","41.80776255","-87.61618581","POINT (-87.61618581 41.80776255)"
"2016","260118","440 W. Barry","440 W. Barry","60657","LAKE VIEW","Multifamily Housing","66,754","1929","1","95","583,158.6","3,540,931.3",,,,"61.8","83.1","67.2","88.9","295.6","4.4","41.9398511","-87.65844752","POINT (-87.65844752 41.9398511)"
"2016","251742","Solorio-CPS","5410 S Saint Louis Ave","60632","GAGE PARK","K-12 School","206,200","2010","1","32","10,691,836.4","6,775,470.8",,,,"84.7","197.3","86.6","197.1","2,330.6","11.3","41.794939","-87.710978","POINT (-87.710978 41.794939)"
"2016","120347","1033 Van Buren","1033 West Van Buren","60607","NEAR WEST SIDE","Office","82,712","1905","1","83","3,368,800.7","1,657,913.2",,,,"60.8","148.9","64.2","154.4","709","8.6","41.87626485","-87.65305417","POINT (-87.65305417 41.87626485)"
"2016","173658","212 West Superior Street","212 West Superior Street","60654","NEAR NORTH SIDE","Office","92,454","1920","1","92","3,120,362.7","2,796,111.1",,,,"64","137.7","68.1","142","723.7","7.8","41.89561827","-87.63484054","POINT (-87.63484054 41.89561827)"
"2016","117398","Circle Park Apartments","1111 S. Ashland Ave.","60607","NEAR WEST SIDE","Multifamily Housing","97,949","1983","1","27","4,610,117","1,842,367.2",,,,"65.9","167.5","69.8","179.1","947.6","9.7","41.87399385","-87.651678","POINT (-87.651678 41.87399385)"
"2016","251382","Ogden Elemen-CPS","24 W Walton St","60610","NEAR NORTH SIDE","K-12 School","132,724","1953","1","75","4,094,980","2,357,903.9",,,,"48.6","115.5","51.5","118.6","880","6.6","41.90028983","-87.62906231","POINT (-87.62906231 41.90028983)"
"2016","101929","200 S. Michigan, LLC","200 S. Michigan Ave.","60604","LOOP","Office","421,232","1958","1","82","15,937,619.2","12,474,837.6",,"9,300,432.2",,"89.5","172","91.1","173.8","4,090.4","9.7","41.87931324","-87.62491915","POINT (-87.62491915 41.87931324)"
"2016","244534","One Museum Park East Condominium Association","1211 S. Prairie Private","60605","NEAR SOUTH SIDE","Multifamily Housing","952,287","2008","1","74","21,756,147.1","40,770,701.9",,,,"65.7","116.7","70.5","120.8","6,175.6","6.5","41.86619413","-87.62121604","POINT (-87.62121604 41.86619413)"
"2016","236822","21 W. Chestnut Condominium Association","21 W Chestnut St","60610","NEAR NORTH SIDE","Multifamily Housing","169,377","1999","1","21","5,381,703.2","11,138,851.7",,,,"97.5","168.8","106.1","177.8","1,583.6","9.3","41.8977317","-87.62883489","POINT (-87.62883489 41.8977317)"
"2016","236031","City Centre Condominium","208 W. Washington Street","60606","LOOP","Multifamily Housing","390,000","1934","1","87","6,370,811.3","15,822,699.6",,,,"56.9","93.9","61","98.2","2,014.7","5.2","41.883288","-87.634142","POINT (-87.634142 41.883288)"
"2016","129398","Webster Place Shopping Center","1435-71 Webster Place","60614","LINCOLN PARK","Retail Store","96,000","1988","1",,"3,693,104.4","6,346,800.1",,,,"104.6","190.2","112.7","199","1,019.9","10.6","41.92103402","-87.66480651","POINT (-87.66480651 41.92103402)"
"2016","251309","Aperion Care International","4815 S. Western Ave.","60609","NEW CITY","Senior Care Community","91,280","1997","1","15","6,029,297.4","9,194,083.9",,,,"166.8","313.2","174.3","318.5","1,599.7","17.5","41.80625486","-87.68314932","POINT (-87.68314932 41.80625486)"
"2016","244817","The Towers Condominium","1221 N Dearborn St","60610","NEAR NORTH SIDE","Multifamily Housing","217,800","1974","1","92","6,065,253.1","3,382,701.9",,,,"43.4","103.7","45.9","110.7","1,297.6","6","41.90468659","-87.62960806","POINT (-87.62960806 41.90468659)"
"2016","252020","1420 North Lake Shore Drive","1420 North Lake Shore Drive","60611","NEAR NORTH SIDE","Multifamily Housing","162,540","1928","1","68","3,718,848","10,875,300.1",,,,"89.8","142.1","97.7","148.5","1,263.1","7.8","41.90861149","-87.62598492","POINT (-87.62598492 41.90861149)"
"2016","105695","Dearborn I LLC","1036 N Dearborn St","60610","NEAR NORTH SIDE","Multifamily Housing","72,115","1929","1","53","3,178,192.7","1,935,549",,,,"70.9","166.6","72","169.1","688.6","9.5","41.9037528","-87.63558845","POINT (-87.63558845 41.9037528)"
"2016","161131","731 S Plymouth","731 S Plymouth","606051996","LOOP","Residence Hall/Dormitory","136,993","1897","1","44","7,432,212.9","3,647,253.5",,,,"80.9","198.3","86.1","209.8","1,563.6","11.4","41.87269291","-87.62837598","POINT (-87.62837598 41.87269291)"
"2016","251268","(IL644) - 860 Lake Shore Drive Trust","860-880 Lake Shore Drive","60611","NEAR NORTH SIDE","Multifamily Housing","341,022","1949","2","10","8,322,205.8","34,528,079.9",,,,"125.7","182.9","125.7","182.9","3,367.9","9.9","41.89867711","-87.61881403","POINT (-87.61881403 41.89867711)"
"2016","165664","DANK Haus German American Cultural Center","4740 N Western Ave","60625","LINCOLN SQUARE","Mixed Use Property","61,042","1927","1",,"496,276.1","2,533,770.8",,,,"49.6","69.1","53.9","73.2","226.1","3.7","41.96811845","-87.68927436","POINT (-87.68927436 41.96811845)"
"2016","251893","Edgebrook El-CPS","6525 N Hiawatha Ave","60646","FOREST GLEN","K-12 School","65,590","1910","1","76","1,636,918.3","2,604,519.7",,,,"64.7","120.1","69.2","124.9","440.1","6.7","41.99945253","-87.76117987","POINT (-87.76117987 41.99945253)"
"2016","251957","Peck","5821 S. Drexel Ave.","60637","HYDE PARK","Laboratory","124,893","1961","1",,"24,629,798.4",,"13,432,499.8",,,"304.8","748.6","308.7","753.3","5,431.7","43.5","41.781317","-87.604346","POINT (-87.604346 41.781317)"
"2016","175867","Six Corners Plaza","3970-3982 Milwaukee Avenue","60641","PORTAGE PARK","Strip Mall","80,596","1966","1",,,,,,,,,,,,,"41.952901","-87.746534","POINT (-87.746534 41.952901)"
"2016","159100","1111 N. Dearborn Apartments","1111 N. Dearborn","60610","NEAR NORTH SIDE","Multifamily Housing","330,974","1986","1","49","7,464,377.8","22,266,459",,,,"89.8","141.5","95.7","144.8","2,558.5","7.7","41.90216178","-87.62945783","POINT (-87.62945783 41.90216178)"
"2016","175229","Hazel Apartments, LLC","4278 N. Hazel St","60613","UPTOWN","Multifamily Housing","73,000","1930","1","89","1,642,219.5","1,309,278.6",,,,"40.4","89.5","42","93.3","372.2","5.1","41.95402016","-87.6620278","POINT (-87.6620278 41.95402016)"
"2016","135080","537 S. Dearborn St.","537 S. Dearborn St.","60605","LOOP","Multifamily Housing","78,000","1892","1","48","2,546,095.8","1,861,676.9",,,,"56.5","127.6","58.7","130.5","568.2","7.3","41.86863212","-87.62730687","POINT (-87.62730687 41.86863212)"
"2016","251774","St. Ailbe Faith & St. Ailbe Love Apartments","1244 E. 93rd Street","60619","BURNSIDE","Multifamily Housing","178,647","2000","1","66","2,756,543.2","7,993,163.5",,,,"60.2","95.4","65.3","99.7","932.6","5.2","41.72509928","-87.65454095","POINT (-87.65454095 41.72509928)"
"2016","161225","Langford Es-CPS","6010 S Throop St","60636","WEST ENGLEWOOD","K-12 School","78,575","1907","1","87","1,155,377.6","3,797,003.4",,,,"63","96.9","70.5","104.7","414.6","5.3","41.78450786","-87.6574118","POINT (-87.6574118 41.78450786)"
"2016","254261","Roscoe Village","1800 West Roscoe","60657","North Center","Multifamily Housing","215,000","1988","1","29","6,929,860.7","5,961,900",,,,"60","130.3","62.4","132.9","1,594","7.4","41.8842525","-87.63245","POINT (-87.63245 41.8842525)"
"2016","102544","Olive-Harvey College","10001 South Woodlawn Ave","60628","PULLMAN","College/University","397,700","1981","1",,"13,543,347.1","11,007,275.2",,,,"61.7","136","65.2","139.6","3,088.7","7.8","41.71336917","-87.59225911","POINT (-87.59225911 41.71336917)"
"2016","161145","624 S Michigan","624 S Michigan","606051996","LOOP","College/University","161,155","1960","1",,"5,468,808.2","4,706,973.4",,,,"63.1","137.2","67.3","140.6","1,258","7.8","41.87359779","-87.62479014","POINT (-87.62479014 41.87359779)"
"2016","135007","IRI Global Headquarters","150 N. Clinton Street","60661","NEAR WEST SIDE","Office","158,110","1918","1","45","13,847,083.4","5,091,868.4",,,,"119.8","308.8","123.5","312.7","2,822.8","17.9","41.88477893","-87.64127771","POINT (-87.64127771 41.88477893)"
"2016","251489","Stowe-CPS","3444 W WABANSIA AVE","60647","HUMBOLDT PARK","K-12 School","133,900","1990","1","79","2,257,679.5","5,628,495.7",,,,"58.9","97.1","66.9","107.3","715.1","5.3","41.91251827","-87.71313894","POINT (-87.71313894 41.91251827)"
"2016","251928","Institute of Forensic Medicine","2121 W. Harrison St.","60612","NEAR WEST SIDE","Other - Public Services","79,368","1982","1",,"7,293,259.2","9,532,365.8",,,,"212","414.6","226.4","426.7","1,850.6","23.3","41.87360171","-87.68027426","POINT (-87.68027426 41.87360171)"
"2016","251569","Hay Comm Aca-CPS","1016 N Laramie","60651","AUSTIN","K-12 School","94,900","1899","1","70","1,452,465.9","6,095,389.8",,,,"79.5","115.5","90.3","126.8","591.5","6.2","41.898943","-87.755742","POINT (-87.755742 41.898943)"
"2016","172759","Market Square Lofts Condominium Association","161 W Harrison","60605","LOOP","Multifamily Housing","168,000","1995","1","99","3,820,293.6","321,753.6",,,,"24.7","73.4","24.6","72.6","721.3","4.3","41.86863212","-87.62730687","POINT (-87.62730687 41.86863212)"
"2016","103731","900 W Fullerton Condo","900 W Fullerton","60614","LINCOLN PARK","Multifamily Housing","52,500","2000","1","75","880,149.3","2,768,564.9",,,,"69.5","108","74.6","113.3","309.3","5.9","41.92201051","-87.65461957","POINT (-87.65461957 41.92201051)"
"2016","159924","Twin Towers Apartments","1645-49 E 50th Street","60615","KENWOOD","Multifamily Housing","217,600","1951","2","46","6,823,706.6","11,913,305.4",,,,"86.1","156","92.1","161.2","1,890.5","8.7","41.80405125","-87.58442765","POINT (-87.58442765 41.80405125)"
"2016","173488","F.H. Paschen, S.N. Nielsen & Associates, LLC","8734 W. Catalpa","60135","OHARE","Office","112,700","1989","1","53","8,511,025.9",,,,,"75.5","237.1","77.4","243.1","1,568.8","13.9","41.979185","-87.844849","POINT (-87.844849 41.979185)"
"2016","128978","Woodbridge Nursing Pavilion, Ltd","2242 N. Kedzie Blvd.","60647","LOGAN SQUARE","Senior Care Community","56,000","1975","1","44","2,674,615.3","7,397,220.4",,,,"179.9","288.7","185.5","291","887.4","15.8","41.92197286","-87.70750811","POINT (-87.70750811 41.92197286)"
"2016","251545","Metcalfe Mat-CPS","12339 S Normal Ave","60628","WEST PULLMAN","K-12 School","81,370","1980","1","64","2,795,963.1","2,907,305.5",,,,"70.1","145.4","75.3","150.8","669.8","8.2","41.66947303","-87.63400634","POINT (-87.63400634 41.66947303)"
"2016","251435","LittleVilgAc-CPS","2620 S Lawndale Ave","60623","SOUTH LAWNDALE","K-12 School","73,770","1996","1","86","3,223,766.4","1,195,841.4",,,,"59.9","154.2","62.3","156.7","657.7","8.9","41.84298853","-87.71755077","POINT (-87.71755077 41.84298853)"
"2016","251750","Sandoval Ele-CPS","5534 S ST LOUIS AVE","60629","GAGE PARK","K-12 School","108,534","1998","1","75","3,058,006.4","2,698,984.6",,,,"53","114.6","56.8","118.5","707","6.5","41.79247952","-87.71232641","POINT (-87.71232641 41.79247952)"
"2016","251451","Madero Middl-CPS","3202 W 28th St","60623","SOUTH LAWNDALE","K-12 School","62,071","1996","1","15","2,456,405.9","3,709,798.3",,,,"99.3","187","107.2","195.3","649.8","10.5","41.840909","-87.705078","POINT (-87.705078 41.840909)"
"2016","101545","Reside at 849","849-863 West Buena Avenue","60613","UPTOWN","Multifamily Housing","61,056","1925","1","80","603,204.1","3,526,900",,,,"67.6","91.7","73.8","98.2","298.5","4.9","41.95402016","-87.6620278","POINT (-87.6620278 41.95402016)"
"2016","103317","(IL504) - 33E. Condo Association","33 E. Cedar St.","60611","NEAR NORTH SIDE","Multifamily Housing","162,398","1958","1","82","2,422,257.3","8,399,554.2",,,,"66.6","101.1","72.4","105.3","892.6","5.5","41.89579275","-87.62247957","POINT (-87.62247957 41.89579275)"
"2016","260135","309-315 W. 23rd St. Condominium Assocation","313 W. 23rd St.","60616","ARMOUR SQUARE","Multifamily Housing","52,835","2008","1","93","1,855,595.7","151,670",,,,"38","113.3","40.3","118.9","350.1","6.6","41.84550365","-87.63055693","POINT (-87.63055693 41.84550365)"
"2016","175837","Park Apartments","220 E. Garfield","60615","WASHINGTON PARK","Multifamily Housing","101,833","1920","2","100","1,208,195.3","29,354.1",,,,"12.2","37.6","13.1","40.4","224.3","2.2","41.80224043","-87.60332678","POINT (-87.60332678 41.80224043)"
"2016","173655","ACME Hotel Company","15 E Ohio St","60611","NEAR NORTH SIDE","Hotel","80,000","1927","1","74","3,650,277","2,135,826.6",,,,"72.3","171.3","73.1","172.2","786.3","9.8","41.89224796","-87.62750277","POINT (-87.62750277 41.89224796)"
"2016","103798","Federal Railroad Retirement Board","844 W. Rush Street","60611","NEAR NORTH SIDE","Office","383,007","1923","4",,"16,754,359.9","16,671,986.9",,,,"87.3","183.1","91.7","185","3,973.7","10.4","41.89797613","-87.62622715","POINT (-87.62622715 41.89797613)"
"2016","251225","314 West Superior Street","314 West Superior Street","60654","NEAR NORTH SIDE","Office","109,032","1910","1","81","5,451,253.5","2,612,161.4",,,,"74","182.1","77.2","185.5","1,143.5","10.5","41.89558797","-87.63659115","POINT (-87.63659115 41.89558797)"
"2016","251621","Langston H-CPS","226 W 104th St","60628","ROSELAND","K-12 School","100,000","1990","1","25","4,844,412.2","3,347,438",,,,"81.9","187.3","85.2","188.9","1,070.7","10.7","41.70455455","-87.62936101","POINT (-87.62936101 41.70455455)"
"2016","173914","Jeffrey Plaza","2101 E 71st St & 7131 S Jeffrey Blvd","60646","SOUTH SHORE","Strip Mall","113,303","1990","1",,"4,159,460","2,374,882.4",,,,"57.7","137.3","58.5","138.1","892.8","7.9","41.76509567","-87.57550953","POINT (-87.57550953 41.76509567)"
"2016","105991","Red Roof Inn Chicago Downtown - Magnificent Mile","162 East Ontario Street","60611","NEAR NORTH SIDE","Hotel","76,800","1980","1","43","3,236,420.2","4,604,366.3",,,,"102.1","195.3","104.7","195.1","841.1","11","41.89579275","-87.62247957","POINT (-87.62247957 41.89579275)"
"2016","103696","111 South Wacker","111 South Wacker","60606","LOOP","Office","1,248,730","2004","1","80","84,648,171.5",,,,,"67.8","212.9","69.3","217.8","15,602.4","12.5","41.880335","-87.636667","POINT (-87.636667 41.880335)"
"2016","100572","Perspectives Charter Schools - Auburn Gresham Campus","8131 S May Street","60620","AUBURN GRESHAM","K-12 School","300,000","1925","1","73","6,394,582.7","20,419,239.1",,,,"89.4","138.4","100.6","150.2","2,266.9","7.6","41.74538215","-87.65152078","POINT (-87.65152078 41.74538215)"
"2016","173812","Coronado Condominium Association","3900 N. Pine Grove","60613","LAKE VIEW","Multifamily Housing","99,637","1973","1","73","2,313,114.2","4,886,222.7",,,,"72.3","124.4","76","128.3","685.9","6.9","41.95402016","-87.6620278","POINT (-87.6620278 41.95402016)"
"2016","117248","Alpha Tower Apartments","936 E. 47th Street","60653","KENWOOD","Multifamily Housing","136,957","1983","1","5","4,750,636.8","12,542,561.2",,,,"126.3","205.1","137.3","215.3","1,541.8","11.3","41.82021138","-87.61246867","POINT (-87.61246867 41.82021138)"
"2016","172347","River West Lofts","925 W Huron","60642","WEST TOWN","Multifamily Housing","177,000","1910","1","96","1,575,822","10,476,900",,,,"68.1","90.1","72","94.2","846.9","4.8","41.89983093","-87.65764114","POINT (-87.65764114 41.89983093)"
"2016","103681","Fordham Hall- ID# 103681","6455 N Sheridan Rd","60626","ROGERS PARK","Residence Hall/Dormitory","113,750","1991","1","58","3,800,708.7","7,069,824.2",,,,"95.6","170.2","101.2","175.4","1,076.1","9.5","41.99972255","-87.66065332","POINT (-87.66065332 41.99972255)"
"2016","136784","Columbus Manor Nursing Home","5107 W. Jackson Blvd.","60644","AUSTIN","Other - Lodging/Residential","50,371","1959","5",,,,,,,,,,,,,"41.87643089","-87.75408077","POINT (-87.75408077 41.87643089)"
"2016","243776","1150 Condominium Association","1150 N. Lake Shore Dr","60611","NEAR NORTH SIDE","Multifamily Housing","241,500","1957","1","47","5,641,701.1","17,688,749.3",,,,"96.6","150.3","105.4","158.1","1,979.4","8.2","41.90369999","-87.62492429","POINT (-87.62492429 41.90369999)"
"2016","251757","Thorp Schola-CPS","6024 W WARWICK AVE","60634","DUNNING","K-12 School","93,200","1918","1","75","1,739,396","5,742,960.9",,,,"80.3","123.3","88.7","132.8","625.6","6.7","41.94895308","-87.77785435","POINT (-87.77785435 41.94895308)"
"2016","251242","330 N. Clinton CA","330 N. Clinton","60606","NEAR WEST SIDE","Multifamily Housing","63,803","2000","1","79","1,762,120.6","2,184,353.8",,,,"61.9","122.7","64","122.8","440.8","6.9","41.88778801","-87.64178715","POINT (-87.64178715 41.88778801)"
"2016","254343","(IL609) - The Apex Condo","859 W. Erie","60610","West Town","Multifamily Housing","67,154","2004","1","84","1,628,742.1","2,508,980.5",,,,"61.6","115.4","62.7","113.8","433.5","6.5","41.9041211","-87.63142","POINT (-87.63142 41.9041211)"
"2016","172800","5110 S Kenwood","5110 S Kenwood","60615","HYDE PARK","Multifamily Housing","55,932","1990","1","72","880,203.9","4,960,499.8",,,,"104.4","142.5","113.2","150.6","426.2","7.6","41.80224043","-87.60332678","POINT (-87.60332678 41.80224043)"
"2016","147516","Madison 901 Condominium Association","901 W Madison","60607","NEAR WEST SIDE","Multifamily Housing","270,000","2007","1","99","3,347,199.3","9,084,750.9",,,,"46","74.3","49.4","76.8","1,099.5","4.1","41.87399385","-87.651678","POINT (-87.651678 41.87399385)"
"2016","106101","Wrightwood II LLC","443 W Wrightwood Ave","60614","LINCOLN PARK","Multifamily Housing","90,140","1928","1","77","1,679,086.1","7,321,330.8",,,,"99.8","143.8","108.6","153","698.4","7.7","41.92201051","-87.65461957","POINT (-87.65461957 41.92201051)"
"2016","158099","61480 - Galewood 14","5530 W Homer St","60639-449","AUSTIN","Movie Theater","57,976","2007","1",,"5,924,876.6","2,541,600",,,,"146","366.9","150.5","366.5","1,227.1","21.2","41.91589039","-87.76459083","POINT (-87.76459083 41.91589039)"
"2016","250102","Maria Diaz Martinez Apartments","2111 N HALSTED ST","60614","LINCOLN PARK","Multifamily Housing","123,953","1968","1","86","1,806,904.1","6,686,869.7",,,,"68.5","102.4","71.7","104.4","688.2","5.6","41.92026783","-87.64782227","POINT (-87.64782227 41.92026783)"
"2016","175745","Aviation Loft","1340 S Michigan","60605","NEAR SOUTH SIDE","Multifamily Housing","50,000","2015","1","100","651,744.9","22,508",,,,"13.5","41.4","13.3","40.8","121.3","2.4","41.86863212","-87.62730687","POINT (-87.62730687 41.86863212)"
"2016","165224","Irish American Heritage Center","4626 North Knox","60630","IRVING PARK","K-12 School","80,000","1926","1","92","1,108,701.1","3,417,273.1",,,,"56.6","88.4","61.6","93.6","386.5","4.8","41.96533308","-87.74454481","POINT (-87.74454481 41.96533308)"
"2016","251260","The Belmont by Reside","3170 N Sheridan Road","60657","LAKE VIEW","Multifamily Housing","475,020","1924","1","68","9,313,634","20,129,500.2",,,,"62","106.1","64.7","108.9","2,785.9","5.9","41.93973305","-87.64000019","POINT (-87.64000019 41.93973305)"
