"Data Year","ID","Property Name","Address","ZIP Code","Community Area","Primary Property Type","Gross Floor Area - Buildings (sq ft)","Year Built","# of Buildings","ENERGY STAR Score","Electricity Use (kBtu)","Natural Gas Use (kBtu)","District Steam Use (kBtu)","District Chilled Water Use (kBtu)","All Other Fuel Use (kBtu)","Site EUI (kBtu/sq ft)","Source EUI (kBtu/sq ft)","Weather Normalized Site EUI (kBtu/sq ft)","Weather Normalized Source EUI (kBtu/sq ft)","Total GHG Emissions (Metric Tons CO2e)","GHG Intensity (kg CO2e/sq ft)","Latitude","Longitude","Location"
"2016","254055","Park Douglas Apartments","1235 S Washtenaw","60608","North Lawndale","Multifamily Housing","67,800","2011","1","98","1,006,647.5","1,609,951.1",,,,"38.6","71.6","40.1","73.2","271.1","4","41.8492976","-87.67088","POINT (-87.67088 41.8492976)"
"2016","251319","03262-Irving Park & Cicero","4660 W. Irving Park Rd","60641","PORTAGE PARK","Supermarket/Grocery Store","70,790","1997","1","68","11,576,987.7","4,068,599.9",,,,"221","573.9","224","573","2,350","33.2","41.95550602","-87.74485142","POINT (-87.74485142 41.95550602)"
"2016","250098","Lincoln Perry Apartments","3245 S. PRAIRIE AVE","60616","DOUGLAS","Multifamily Housing","312,210","1973","2","72","5,220,308.8","16,053,838.7",,,,"68.1","106.5","72.5","111.1","1,814.9","5.8","41.83535807","-87.62022239","POINT (-87.62022239 41.83535807)"
"2016","103933","3161 Cambridge","3161 N Cambridge","60657","LAKE VIEW","Multifamily Housing","50,825","1968","1","93","704,393.8","2,886,112.2",,,,"70.6","103.1","75.8","107.4","283.1","5.6","41.9398511","-87.65844752","POINT (-87.65844752 41.9398511)"
"2016","103739","20 North Clark Street - 2821","20 North Clark Street","60602","LOOP","Office","433,246","1981","1","81","21,592,521.3","529,565.3",,,,"51.1","157.8","53.2","164.4","4,008.1","9.3","41.88230282","-87.63117675","POINT (-87.63117675 41.88230282)"
"2016","117702","AceTechChrt-CPS","5400 S State St","60609","WASHINGTON PARK","K-12 School","68,331","1963","1","73","765,064.2","3,218,852.5",,,,"58.3","84.6","64.6","91.2","312","4.6","41.796361","-87.625781","POINT (-87.625781 41.796361)"
"2016","251925","Peter V. Byrne Hall","2219 N. Kenmore","60614","LINCOLN PARK","College/University","77,485","1968","1",,"1,883,809.6","7,246,464",,,,"117.8","174.5","130.4","187.7","732.1","9.4","41.922073","-87.654665","POINT (-87.654665 41.922073)"
"2016","251685","Johnson College Prep","6350 S Stewart St","60621","ENGLEWOOD","K-12 School","63,816","1963","1","65","2,418,887.2","4,571,121",,,,"109.5","194.2","118.5","203.7","688.6","10.8","41.77833596","-87.63556329","POINT (-87.63556329 41.77833596)"
"2016","103614","Ann & Robert H. Lurie Children's Hospital of Chicago","225 E Chicago Ave","60611","NEAR NORTH SIDE","Hospital (General Medical & Surgical)","1,250,000","2012","1","49","119,217,259","155,059,794",,,"1,940,417.9","221","431.3","226.5","434.6","30,354.2","24.3","41.896764","-87.621559","POINT (-87.621559 41.896764)"
"2016","251600","Mozart-CPS","2200 N Hamlin Ave","60647","LOGAN SQUARE","K-12 School","92,365","1910","1","55","2,996,212","4,085,913.4",,,,"76.7","148.3","84","156","769.3","8.3","41.92132822","-87.72244339","POINT (-87.72244339 41.92132822)"
"2016","175264","yusuf north","2753 w. north ave","60647","WEST TOWN","Office","50,000","1906","1","81","2,028,850.9","1,126,851.6",,,,"63.1","151.1","65.8","151.8","433.8","8.7","41.90999631","-87.69652744","POINT (-87.69652744 41.90999631)"
"2016","251504","Haines Eleme-CPS","247 W 23rd Place","60616","ARMOUR SQUARE","K-12 School","75,558","1995","1","7","4,545,712.1","3,724,198.4",,,,"109.5","240.7","116.4","247.9","1,035.7","13.7","41.84978233","-87.63387739","POINT (-87.63387739 41.84978233)"
"2016","173760","559 W. Surf","559 W. Surf","60657","LAKE VIEW","Multifamily Housing","100,000","1904","1","99","884,444.7","5,405,070.5",,,,"62.9","84.5","69.3","91.3","450.1","4.5","41.9398511","-87.65844752","POINT (-87.65844752 41.9398511)"
