"Building ID","Address","Zip","Cohort - Sector","Cohort - Size","Verification Year","Community Area Name","Community Area Number","Ward","Latitude","Longitude","Location"
"244592","1901 S Calumet Ave","60616","Residential","> 250,000 Sq F","2027","Near South Side","33","3","41.85622","-87.61864","(41.85622, -87.61864)"
"257027","8711 W Bryn Mawr","60631","Residential","> 50,000 Sq Ft","2026","O'Hare","76","41","41.9991","-87.81389","(41.9991, -87.81389)"
"250098","3245 S Prairie Ave","60616","Residential","> 250,000 Sq F","2027","Douglas","35","3","41.83536","-87.62022","(41.83536, -87.62022)"
"255149","6135-6199 North Lincoln","60659","Commercial","> 50,000 Sq Ft","2025","North Park","13","50","41.99361","-87.69548","(41.99361, -87.69548)"
"240284","2700 N Hampden Ct","60614","Residential","> 50,000 Sq Ft","2025","Lincoln Park","7","43","41.93081","-87.64198","(41.93081, -87.64198)"
"101913","567 W Lake St","60661","Municipal","> 250,000 Sq Ft","2026","Near West Side","28","42","41.88528","-87.64235","(41.88528, -87.64235)"
"251530","5825 S Kostner Ave","60629","Municipal","> 50,000 Sq Ft","2025","West Elsdon","62","13","41.78617","-87.73238","(41.78617, -87.73238)"
"251775","251 N Albany Avenue","60612","Residential","> 50,000 Sq Ft","2025","East Garfield Park","27","27","41.88568","-87.70344","(41.88568, -87.70344)"
"109191","1020 W Bryn Mawr","60660","Commercial","> 50,000 Sq Ft","2025","Edgewater","77","48","41.9909","-87.66661","(41.9909, -87.66661)"
"251412","4255 W Adams","60624","Municipal","> 50,000 Sq Ft","2025","West Garfield Park","26","28","41.87786","-87.7318","(41.87786, -87.7318)"
"251404","1621 W Wabansia Ave","60622","Municipal","> 50,000 Sq Ft","2025","West Town","24","32","41.91241","-87.66859","(41.91241, -87.66859)"
"105936","12 18 W Elm St","60610","Residential","> 50,000 Sq Ft","2025","Near North Side","8","2","41.90375","-87.63559","(41.90375, -87.63559)"
"160211","633 N St Clair St","60611","Residential","> 250,000 Sq Ft","2026","Near North Side","8","42","41.8935","-87.62269","(41.8935, -87.62269)"
"158841","6631 N Bosworth Ave","60626","Municipal","> 50,000 Sq Ft","2025","Rogers Park","1","49","42.00281","-87.66893","(42.00281, -87.66893)"
"252247","222 E Chestnut","60611","Residential","> 50,000 Sq Ft","2025","Near North Side","8","2","41.89847","-87.62109","(41.89847, -87.62109)"
"158412","630 N Rush St","60611","Commercial","> 50,000 Sq Ft","2025","Near North Side","8","42","41.89361","-87.62638","(41.89361, -87.62638)"
"103681","6427-6455 N Sheridan Rd","60626","Residential","> 50,000 Sq Ft","2027","Rogers Park","1","49","41.99972","-87.66065","(41.99972, -87.66065)"
"145926","7301 N Sheridan Rd","60626","Residential","> 50,000 Sq Ft","2025","Rogers Park","1","49","42.01036","-87.6683","(42.01036, -87.6683)"
"256655","1140 N La Salle Dr","60610","Residential","> 50,000 Sq Ft","2026","Near North Side","8","2","41.90423","-87.63823","(41.90423, -87.63823)"
"100856","1901 W Madison St","60612","Commercial","> 250,000 Sq Ft","2025","Near West Side","28","27","41.88068","-87.67418","(41.88068, -87.67418)"
"114638","5543 5559 S Kimbark Ave","60637","Residential","> 50,000 Sq Ft","2026","Hyde Park","41","5","41.78046","-87.60531","(41.78046, -87.60531)"
"254079","3946 N Ravenswood Ave","60613","Residential","> 50,000 Sq Ft","2025","North Center","5","47","41.95431","-87.6618","(41.95431, -87.6618)"
"119223","3500 N Kimball Ave","60618","Commercial","> 50,000 Sq Ft","2025","Avondale","21","35","41.94472","-87.71267","(41.94472, -87.71267)"
"251226","325 W Huron St","60654","Commercial","> 50,000 Sq Ft","2027","Near North Side","8","42","41.89472","-87.63667","(41.89472, -87.63667)"
"146828","1373 1383 W Greenleaf Ave","60626","Residential","> 50,000 Sq Ft","2025","Rogers Park","1","49","42.01036","-87.6683","(42.01036, -87.6683)"
"251213","40 E 9th St","60605","Residential","> 250,000 Sq F","2027","Loop","32","4","41.87078","-87.62642","(41.87078, -87.62642)"
"251884","5631 S Kimbark Ave","60637","Municipal","> 50,000 Sq Ft","2025","Hyde Park","41","5","41.79232","-87.5944","(41.79232, -87.5944)"
"134280","2512  N Bosworth Ave","60614","Residential","> 50,000 Sq Ft","2025","Lincoln Park","7","32","41.92201","-87.65462","(41.92201, -87.65462)"
"257169","4600 N Kenmore","60640","Residential","> 50,000 Sq Ft","2025","Uptown","3","46","41.88323","-87.6324","(41.88323, -87.6324)"
