"OSEBuildingID","DataYear","BuildingName","BuildingType","TaxParcelIdentificationNumber","Address","City","State","ZipCode","Latitude","Longitude","Neighborhood","CouncilDistrictCode","YearBuilt","NumberofFloors","NumberofBuildings","PropertyGFATotal","PropertyGFABuildings","PropertyGFAParking","SelfReportGFATotal","SelfReportGFABuildings","SelfReportParking","ENERGYSTARScore","SiteEUIWN(kBtu/sf)","SiteEUI(kBtu/sf)","SiteEnergyUse(kBtu)","SiteEnergyUseWN(kBtu)","SourceEUIWN(kBtu/sf)","SourceEUI(kBtu/sf)","EPAPropertyType","LargestPropertyUseType","LargestPropertyUseTypeGFA","SecondLargestPropertyUseType","SecondLargestPropertyUseTypeGFA","ThirdLargestPropertyUseType","ThirdLargestPropertyUseTypeGFA","Electricity(kWh)","SteamUse(kBtu)","NaturalGas(therms)","ComplianceStatus","ComplianceIssue","Electricity(kBtu)","NaturalGas(kBtu)","TotalGHGEmissions","GHGEmissionsIntensity","Demolished"
"25242","2023","VERSAILLES CONDOMINIUM","Multifamily LR (1-4)","8896000000","210 BOYLSTON AVE E","SEATTLE","WA","98102","47.62052","-122.32286","EAST","3","1978","3","1","27,317","27,317","0","22,755","22,755","0","60","32.70000076","33.5","761,225","744,751","91.59999847","93.69999695","Multifamily LR (1-4)","Multifamily Housing","22,755","NA",,"NA",,"223,102",,,"Compliant","No Issue","761,225",,"4.4","0.16","false"
"25243","2023","VERTIGO","Multifamily MR (5-9)","8896500000","705 E REPUBLICAN ST","SEATTLE","WA","98102","47.62285","-122.32281","EAST","3","1963","5","1","28,922","28,922","0","28,922","28,922","0","54","33.79999924","34.5","997,387","977,274","94.59999847","96.59999847","Multifamily MR (5-9)","Multifamily Housing","28,922","NA",,"NA",,"292,317",,,"Compliant","No Issue","997,387",,"5.8","0.2","false"
"25245","2023","VICTORIA CONDOMINIUM","Multifamily LR (1-4)","8898530000","100 W HIGHLAND DR","SEATTLE","WA","98119","47.63007","-122.35854","MAGNOLIA / QUEEN ANNE","7","1921","4","1","104,064","104,064","0","104,464","104,464","0","82","37.5","38.70000076","4,041,872","3,919,965","55.09999847","56.70000076","Multifamily LR (1-4)","Multifamily Housing","104,064","Other","400","NA",,"281,167",,"30,825","Compliant","No Issue","959,342","3,082,530","168.9","1.62","false"
"25247","2023","VICTORIAN THE CONDOMINIUM","Multifamily LR (1-4)","8899800000","2152 N 112TH ST","SEATTLE","WA","98133","47.7101","-122.33174","NORTHWEST","5","1988","4","1","44,352","44,352","0","44,352","44,352","0","67","46","45.09999847","1,999,216","2,039,819","90.90000153","89.5","Multifamily LR (1-4)","Multifamily Housing","44,352","NA",,"NA",,"313,314",,"9,302","Compliant","No Issue","1,069,026","930,190","55.5","1.25","false"
"25251","2023","SEATTLE PACIFIC UNIVERSITY - MASTER CAMPUS","Campus","8900000555","315 W BERTONA ST","SEATTLE","WA","98119","47.65019","-122.36173","MAGNOLIA / QUEEN ANNE","7","1945","2","14","529,663","529,663","0","543,762","543,762","0",,"83.69999695","85","46,198,500","45,531,628","149.6000061","150.6999969","College/University","College/University","543,762","NA",,"NA",,"5,602,315",,"270,834","Compliant","No Issue","19,115,099","27,083,400","1,546.3","2.92","false"
"25259","2023","ARBOR SQUARE","Multifamily LR (1-4)","8901000370","11039 17TH AVE NE","SEATTLE","WA","98125","47.70953","-122.31075","NORTH","5","1995","2","1","31,680","31,680","0","31,680","31,680","0","70","77","78.40000153","2,485,134","2,438,756","154.5","157.3999939","Senior Living Community","Senior Living Community","31,680","NA",,"NA",,"397,870",,"11,276","Compliant","No Issue","1,357,533","1,127,600","67.6","2.13","false"
"25266","2023","TROWBRIDGE APTS","Multifamily LR (1-4)","8902500100","11314 25TH AVE NE","SEATTLE","WA","98125","47.7113","-122.30127","NORTH","5","1986","3","1","21,303","21,303","0","21,303","21,303","0","68","31.10000038","31.29999924","666,603","662,864","87.09999847","87.59999847","Multifamily LR (1-4)","Multifamily Housing","21,303","NA",,"NA",,"195,370",,,"Compliant","No Issue","666,603",,"3.9","0.18","false"
"25268","2023","LANDMARK BUILDING","NonResidential","8902500361","11000 LAKE CITY WAY NE","SEATTLE","WA","98125","47.70868","-122.30089","NORTH","5","1980","4","1","23,022","23,022","0","22,690","22,690","0","92","43.40000153","43.79999924","993,473","985,137","99.5","99.90000153","Medical Office","Medical Office","22,690","NA",,"NA",,"204,848",,"2,945","Compliant","No Issue","698,942","294,530","19.7","0.85","false"
"25269","2023","MEADOWBROOK VIEW FAMILY HOUSING","Multifamily MR (5-9)","8902500375","11032 LAKE CITY WAY NE","SEATTLE","WA","98125","47.70928","-122.30045","NORTH","5","2002","5","1","57,756","50,192","7,564","57,756","51,672","6,084","85","34.40000153","35","1,806,398","1,779,271","96.40000153","97.90000153","Multifamily MR (5-9)","Multifamily Housing","51,672","Parking","6,084","NA",,"529,425",,,"Compliant","No Issue","1,806,398",,"10.5","0.21","false"
"25275","2023","PLYMOUTH INC.","NonResidential","3958900601","4604 4TH AVE S","SEATTLE","WA","98134","47.56173","-122.32885","GREATER DUWAMISH","1","1967","1","1","27,263","27,263","0","27,200","27,200","0","21","74.90000153","74.5","2,025,799","2,037,382","209.6999969","208.5","Refrigerated Warehouse","Refrigerated Warehouse","22,000","Other","2,700","Office","2,500","593,728",,,"Compliant","No Issue","2,025,799",,"11.7","0.43","false"
"25276","2023","PEDERSEN RENTALS","NonResidential","3958900645","4500 4TH AVE S","SEATTLE","WA","98134","47.56318","-122.32889","GREATER DUWAMISH","1","1962","1","1","31,569","31,569","0","35,985","35,985","0","34","79.40000153","80.90000153","2,670,081","2,620,072","112.0999985","113.6999969","Non-Refrigerated Warehouse","Non-Refrigerated Warehouse","33,000","NA",,"NA",,"158,908",,"21,279","Compliant","No Issue","542,194","2,127,890","115.9","3.67","false"
"25277","2023","FNR 4424 Building","NonResidential","3958900650","4424 4TH AVE S","SEATTLE","WA","98134","47.56362","-122.32876","GREATER DUWAMISH","1","1956","1","1","22,509","22,509","0","22,509","22,509","0",,,,,,,,"Non-Refrigerated Warehouse","Non-Refrigerated Warehouse","22,509","NA",,"NA",,,,,"Compliant","No Issue",,,,,"false"
"25278","2023","4400 Building","NonResidential","3958900786","4400 4TH AVE S","SEATTLE","WA","98134","47.56424","-122.32902","GREATER DUWAMISH","1","1956","1","1","39,984","39,984","0","39,984","39,984","0","75","27.89999962","29.5","1,179,969","1,116,726","44.09999847","45.70000076","Non-Refrigerated Warehouse","Non-Refrigerated Warehouse","31,184","Office","8,800","NA",,"98,542",,"8,437","Compliant","No Issue","336,225","843,740","46.7","1.17","false"
"25295","2023","LAKE CITY PLACE","Multifamily LR (1-4)","3997700000","11038 LAKE CITY WAY NE","SEATTLE","WA","98125","47.7095","-122.30032","NORTH","5","1997","4","1","55,977","39,433","0","45,428","39,433","5,995","97","25.89999962","26","1,180,048","1,176,038","72.5","72.69999695","Multifamily LR (1-4)","Multifamily Housing","39,433","Office","5,995","Parking","2,000","345,852",,,"Compliant","No Issue","1,180,048",,"6.8","0.17","false"
"25299","2023","M.L. KING WAY APTS","Multifamily LR (1-4)","4006000340","7923 MARTIN LUTHER KING JR WAY S","SEATTLE","WA","98118","47.53084","-122.28114","GREATER DUWAMISH","2","1968","2","1","91,907","91,907","0","91,907","91,907","0","63","39.70000076","40.29999924","3,700,779","3,652,914","97.90000153","99.40000153","Multifamily LR (1-4)","Multifamily Housing","91,907","NA",,"NA",,"879,038",,"7,015","Compliant","No Issue","2,999,277","701,500","54.6","0.59","false"
"25302","2023","MARIA CHALET CONDOMINIUM","Multifamily LR (1-4)","5145600000","9710 GREENWOOD AVE N","SEATTLE","WA","98103","47.69991","-122.35498","NORTHWEST","5","1978","4","1","20,844","20,844","0","20,857","20,857","0",,"23.70000076","23.89999962","497,783","494,690","66.40000153","66.80000305","Multifamily LR (1-4)","Multifamily Housing","20,857","NA",,"NA",,"145,892",,,"Compliant","No Issue","497,782",,"2.9","0.14","false"
"25305","2023","MERCER COURT APARTMENTS","Multifamily LR (1-4)","6852700055","527 12TH AVE E","SEATTLE","WA","98102","47.62413","-122.31698","EAST","3","1998","3","1","26,578","18,513","0","24,741","18,581","6,160","60","53.5","54.70000076","1,016,937","993,395","109.3000031","112","Multifamily LR (1-4)","Multifamily Housing","18,581","Parking","6,160","NA",,"169,565",,"4,384","Compliant","No Issue","578,556","438,380","26.6","1.44","false"
"25317","2023","LOWELL ELEMENTARY (SPS-DISTRICT)","SPS-District K-12","6852700355","1058 E MERCER ST","SEATTLE","WA","98102","47.62442","-122.31838","EAST","3","1925","2","1","73,769","73,769","0","72,804","72,804","0","95","25.89999962","25.89999962","1,889,118","1,884,130","44","44.20000076","K-12 School","K-12 School","72,804","NA",,"NA",,"206,747",,"11,837","Compliant","No Issue","705,421","1,183,700","66.8","0.91","false"
"25322","2023","REUNION HOUSE","Multifamily LR (1-4)","6852700496","530 10TH AVE E","SEATTLE","WA","98102","47.62397","-122.31962","EAST","3","1984","4","1","24,620","24,620","0","24,100","24,100","0","39","34.29999924","35","842,504","825,791","95.90000153","97.90000153","Multifamily LR (1-4)","Multifamily Housing","24,100","NA",,"NA",,"246,924",,,"Compliant","No Issue","842,504",,"4.9","0.2","false"
"25323","2023","SWANSONIA APTS","Multifamily LR (1-4)","6852700575","1017 E HARRISON ST","SEATTLE","WA","98102","47.62176","-122.31913","EAST","3","1925","3","1","21,512","21,512","0","16,379","16,379","0","82","46.09999847","46.90000153","767,492","755,332","94.59999847","96.40000153","Multifamily LR (1-4)","Multifamily Housing","16,379","NA",,"NA",,"129,384",,"3,260","Compliant","No Issue","441,459","326,030","19.8","0.92","false"
"25324","2023","THE HARRISON","Multifamily LR (1-4)","6852700595","322 10TH AVE E","SEATTLE","WA","98102","47.62176","-122.31958","EAST","3","1900","3","1","32,960","32,960","0","32,960","32,960","0","92","46.5","48.40000153","1,595,161","1,533,342","62.40000153","64.40000153","Multifamily LR (1-4)","Multifamily Housing","32,960","NA",,"NA",,"75,147",,"13,388","Compliant","No Issue","256,402","1,338,760","72.4","2.2","false"
"25325","2023","ALL PILGRIMS CHRISTIAN CHURCH","NonResidential","6852700670","500 BROADWAY E","SEATTLE","WA","98102","47.62337","-122.3203","EAST","3","1906","1","1","26,440","26,440","0","26,440","26,440","0","70","23","23.10000038","610,025","608,265","40.5","40.70000076","Worship Facility","Worship Facility","26,440","NA",,"NA",,"72,969",,"3,611","Compliant","No Issue","248,970","361,060","20.6","0.78","false"
"25326","2023","PORTAGE BAYSHORE CONDOMINIUM","Multifamily LR (1-4)","6861900000","2524 BOYER AVE E","SEATTLE","WA","98102","47.64251","-122.3149","NORTHEAST","3","1958","4","1","21,312","21,312","0","21,312","21,312","0","56","34.70000076","35.90000153","765,088","738,924","97.09999847","100.5","Multifamily LR (1-4)","Multifamily Housing","21,312","NA",,"NA",,"224,235",,,"Compliant","No Issue","765,088",,"4.4","0.21","false"
"25327","2023","PORTAL OVER LAKE UNION CONDOMINIUM","Multifamily MR (5-9)","6864000000","655 CROCKETT ST","SEATTLE","WA","98109","47.63709","-122.3438","MAGNOLIA / QUEEN ANNE","7","2004","5","1","71,592","71,592","0","74,625","59,625","15,000","89","36.90000153","36.90000153","2,201,008","2,197,421","86.5","86.19999695","Multifamily MR (5-9)","Multifamily Housing","59,625","Parking","30,000","NA",,"473,332",,"5,860","Compliant","No Issue","1,615,010","586,000","40.4","0.56","false"
"25329","2023","INTERLAKE PLACE","Multifamily LR (1-4)","6865200380","4814 INTERLAKE AVE N","SEATTLE","WA","98103","47.66412","-122.34021","LAKE UNION","4","1990","3","1","21,871","15,092","0","21,103","14,374","6,729",,"44.70000076","45.20000076","650,382","643,226","125.3000031","126.6999969","Multifamily LR (1-4)","Multifamily Housing","10,608","Parking","6,729","Other","2,048","190,616",,,"Compliant","No Issue","650,381",,"3.8","0.25","false"
"25335","2023","STONEHEDGE APARTMENTS","Multifamily LR (1-4)","6865200955","1220 N 45TH ST","SEATTLE","WA","98103","47.66164","-122.34247","LAKE UNION","4","2007","4","1","158,180","135,228","0","77,980","55,028","22,952","98","24","24.5","1,347,034","1,323,333","61","61.70000076","Multifamily LR (1-4)","Multifamily Housing","45,565","Parking","22,952","Retail Store","9,463","331,418",,"2,162","Compliant","No Issue","1,130,797","216,240","18","0.13","false"
"25337","2023","PORTOFINO CONDOMINIUM","Multifamily MR (5-9)","6871400000","411 E PINE ST","SEATTLE","WA","98122","47.61499","-122.32591","EAST","3","1919","5","1","40,281","40,281","0","32,092","32,092","0","69","27.20000076","27.5","882,382","871,860","76.09999847","77","Multifamily MR (5-9)","Multifamily Housing","32,092","NA",,"NA",,"258,611",,,"Compliant","No Issue","882,382",,"5.1","0.13","false"
"25338","2023","OLYMPIC PARK CONDOMINIUM","Multifamily LR (1-4)","6384550000","3421 SW ROXBURY ST","SEATTLE","WA","98126","47.51715","-122.37647","SOUTHWEST","1","1981","4","1","42,084","42,084","0","37,183","37,183","0","82","27.79999924","28.20000076","1,047,364","1,033,526","77.80000305","78.90000153","Multifamily LR (1-4)","Multifamily Housing","37,183","NA",,"NA",,"306,965",,,"Compliant","No Issue","1,047,364",,"6.1","0.14","false"
"25340","2023","OLYMPIC PLAZA CONDOMINIUM","Multifamily MR (5-9)","6385200000","654 W OLYMPIC PL","SEATTLE","WA","98119","47.62801","-122.36626","MAGNOLIA / QUEEN ANNE","7","1968","5","1","26,222","23,024","3,198","24,305","21,107","3,198",,"24.5","24.89999962","526,224","517,734","68.69999695","69.80000305","Multifamily MR (5-9)","Multifamily Housing","21,107","Parking","3,198","NA",,"154,228",,,"Compliant","No Issue","526,224",,"3.1","0.13","false"
"25348","2023","ONE ELEVEN THE CONDOMINIUM","Multifamily MR (5-9)","6391000000","111 W HIGHLAND DR","SEATTLE","WA","98119","47.62936","-122.35859","MAGNOLIA / QUEEN ANNE","7","1974","9","1","53,820","53,820","0","102,400","95,000","7,400",,"30.60000038","31.70000076","3,007,644","2,908,015","59.79999924","61.5","Multifamily MR (5-9)","Multifamily Housing","95,000","Parking","7,400","NA",,"448,895",,"14,760","Compliant","No Issue","1,531,630","1,476,010","87.1","1.62","false"
"25354","2023","ONE PACIFIC TOWERS CONDOMINIUM","Multifamily HR (10+)","6391350000","2000 1ST AVE","SEATTLE","WA","98121","47.61146","-122.34264","DOWNTOWN","7","1994","27","1","191,427","146,914","44,513","272,177","171,984","100,193","65","53.20000076","53.79999924","9,253,710","9,153,910","107.6999969","108.4000015","Multifamily HR (10+)","Multifamily Housing","162,769","Parking","100,193","Retail Store","9,215","1,467,922","1,016,522","32,286","Compliant","No Issue","5,008,550","3,228,640","282.5","1.92","false"
"25356","2023","ONE SIXTY LEE ST CONDO","Multifamily LR (1-4)","6391450000","160 LEE ST","SEATTLE","WA","98109","47.63132","-122.35421","MAGNOLIA / QUEEN ANNE","7","1988","3","1","22,392","22,392","0","26,130","22,392","3,738","93","25.20000076","25.39999962","567,702","563,442","70.5","71","Multifamily LR (1-4)","Multifamily Housing","22,392","Parking","3,738","NA",,"166,384",,,"Compliant","No Issue","567,703",,"3.3","0.15","false"
"25358","2023","ONE WEST CONDOMINIUM","Multifamily LR (1-4)","6391900000","5000 CALIFORNIA AVE SW","SEATTLE","WA","98136","47.55728","-122.38646","SOUTHWEST","1","1984","4","1","30,333","30,333","0","34,374","27,579","6,795","100","6.099999905","6.300000191","190,164","185,255","17.10000038","17.60000038","Multifamily LR (1-4)","Multifamily Housing","30,333","Parking","7,583","NA",,"55,734",,,"Compliant","No Issue","190,164",,"1.1","0.04","false"
"25360","2023","WEDGEWOOD ESTATES (ALL 13 BLDGS COMBINED)- INACTIVE","Multifamily LR (1-4)","6392001040","3716 NE 75TH ST","SEATTLE","WA","98115","47.6836","-122.28746","NORTHEAST","4","1948","2","13","233,540","192,275","41,265","0","0","0",,,,,,,,"Multifamily LR (1-4)","Multifamily Housing","192,275","NA",,"NA",,"1,467,204",,,"Compliant","No Issue","5,006,100",,"29","0.15","false"
"25361","2023","DECATUR ELEMENTARY (SPS-DISTRICT)","SPS-District K-12","6392002430","7711 43RD AVE NE","SEATTLE","WA","98115","47.68503","-122.28267","NORTHEAST","4","1961","1","1","43,578","43,578","0","36,645","36,645","0","80","34","35.29999924","1,295,399","1,246,214","60","61.5","K-12 School","K-12 School","36,645","NA",,"NA",,"149,366",,"7,858","Compliant","No Issue","509,638","785,760","44.6","1.02","false"
"25362","2023","ONYX CONDOMINIUM","Multifamily MR (5-9)","6395500000","1125 E OLIVE ST","SEATTLE","WA","98122","47.61625","-122.31726","EAST","3","2001","6","1","65,867","55,867","0","70,730","53,047","17,683",,"30.5","30.89999962","1,636,880","1,616,752","85.30000305","86.40000153","Multifamily MR (5-9)","Multifamily Housing","49,775","Parking","17,683","Retail Store","3,272","479,742",,,"Compliant","No Issue","1,636,880",,"9.5","0.17","false"
"25364","2023","SEATTLE MINI WAREHOUSE","NonResidential","7133800125","1100 POPLAR PL S","SEATTLE","WA","98144","47.59291","-122.31042","GREATER DUWAMISH","2","1956","2","1","28,800","28,800","0","28,800","28,800","0",,"29.70000076","30.10000038","867,475","855,028","59.20000076","59.70000076","Self-Storage Facility","Self-Storage Facility","28,800","NA",,"NA",,"135,330",,"4,057","Compliant","No Issue","461,746","405,730","24.2","0.84","false"
"25368","2023","VINE BUILDING CONDOMINIUM","Multifamily HR (10+)","8946350000","2607 WESTERN AVE","SEATTLE","WA","98121","47.61477","-122.35129","DOWNTOWN","7","2002","12","1","205,779","205,779","0","270,719","203,496","67,223",,"49.79999924","51.09999847","10,401,295","10,124,022","96.30000305","98.30000305","Multifamily HR (10+)","Multifamily Housing","191,119","Parking","67,223","Personal Services (Health/Beauty, Dry Cleaning, etc)","8,071","1,521,300",,"52,106","Compliant","No Issue","5,190,676","5,210,620","306.3","1.49","false"
"25371","2023","EPIPHANY SCHOOL","NonResidential","9103000660","3615 E DENNY WAY","SEATTLE","WA","98122","47.61791","-122.28594","CENTRAL","3","2009","2","4","28,500","28,500","0","28,500","28,500","0","78","44.20000076","45.09999847","1,403,106","1,373,259","80.19999695","81.59999847","K-12 School","K-12 School","31,100","NA",,"NA",,"178,269",,"7,948","Compliant","No Issue","608,254","794,850","45.7","1.6","false"
"25386","2023","EAGLE COURT APTS","Multifamily LR (1-4)","9126100905","2121 E JEFFERSON ST","SEATTLE","WA","98122","47.60583","-122.30421","CENTRAL","3","1968","3","1","29,581","24,882","4,699","29,581","24,882","4,699","95","30.89999962","31.39999962","781,940","769,145","70.09999847","71.40000153","Multifamily LR (1-4)","Multifamily Housing","24,882","Parking","4,699","NA",,"160,135",,"2,356","Compliant","No Issue","546,381","235,560","15.7","0.63","false"
"25401","2023","NORTH ROOSEVELT APARTMENTS","Multifamily LR (1-4)","9137101240","7101 ROOSEVELT WAY NE","SEATTLE","WA","98115","47.68037","-122.31785","NORTHEAST","4","1968","4","1","24,288","24,288","0","24,288","24,288","0","61","29.60000038","30","729,132","718,704","82.90000153","84.09999847","Multifamily LR (1-4)","Multifamily Housing","24,288","NA",,"NA",,"213,696",,,"Compliant","No Issue","729,132",,"4.2","0.17","false"
"25407","2023","MARKET COURT CONDOMINIUM","Multifamily MR (5-9)","5160450000","2030 WESTERN AVE","SEATTLE","WA","98121","47.61123","-122.34446","DOWNTOWN","7","1989","7","1","87,645","87,645","0","82,969","71,990","10,979","99","25.10000038","25.60000038","1,841,058","1,803,698","59.29999924","60.79999924","Multifamily MR (5-9)","Multifamily Housing","60,501","Retail Store","11,489","Parking",,"409,068",,"4,453","Compliant","No Issue","1,395,740","445,320","31.7","0.36","false"
"25410","2023","MARKET PLACE NORTH PHASE I CONDOMINIUM","Multifamily HR (10+)","5160650000","2003 1ST AVE","SEATTLE","WA","98121","47.61124","-122.34339","DOWNTOWN","7","1982","21","1","185,506","185,506","0","176,729","176,729","0","16","52.70000076","53.29999924","9,410,911","9,307,118","142","143.6000061","Multifamily HR (10+)","Multifamily Housing","150,655","Retail Store","26,074","NA",,"2,595,186",,"5,561","Compliant","No Issue","8,854,775","556,140","80.8","0.44","false"
"25412","2023","MARLBOROUGH HOUSE CONDOMINIUM","Multifamily HR (10+)","5161400000","1220 BOREN AVE","SEATTLE","WA","98101","47.61137","-122.32669","EAST","3","1927","12","1","95,280","82,320","12,960","95,280","95,280","0","90","23.89999962","23.89999962","1,333,044","1,333,044","66.90000153","66.90000153","Multifamily HR (10+)","Multifamily Housing","55,776","NA",,"NA",,"390,693",,,"Compliant","No Issue","1,333,044",,"7.7","0.09","false"
"25414","2023","MARQ THE","Multifamily MR (5-9)","5165000000","103 BELLEVUE AVE E","SEATTLE","WA","98102","47.61875","-122.32703","EAST","3","2003","6","1","39,090","38,171","919","52,992","34,584","18,408","38","42.40000153","42.59999847","1,472,031","1,464,928","118.5999985","119.1999969","Multifamily MR (5-9)","Multifamily Housing","34,584","Parking","18,408","NA",,"431,428",,,"Compliant","No Issue","1,472,031",,"8.5","0.22","false"
"25416","2023","MARSELLE","Multifamily MR (5-9)","5165500000","699 JOHN ST","SEATTLE","WA","98109","47.61933","-122.34413","LAKE UNION","7","2009","7","1","138,125","138,125","0","273,576","182,384","91,192","100","26.10000038","26.20000076","4,773,490","4,760,296","52","52","Multifamily MR (5-9)","Multifamily Housing","182,384","Parking","91,192","NA",,"749,818",,"22,151","Compliant","No Issue","2,558,378","2,215,110","132.2","0.96","false"
"25418","2023","PARKSIDE COOP APTS","Multifamily LR (1-4)","5191100005","620 19TH AVE E","SEATTLE","WA","98112","47.62493","-122.307","CENTRAL","3","1907","2","1","20,736","20,736","0","20,763","20,763","0","84","24","24.5","508,975","497,745","67.09999847","68.59999847","Multifamily LR (1-4)","Multifamily Housing","19,200","Other","1,563","NA",,"149,172",,,"Compliant","No Issue","508,975",,"3","0.14","false"
"25419","2023","PARK (PELICAN BAY ARTS COOP)","Multifamily LR (1-4)","5191100020","606 19TH AVE E","SEATTLE","WA","98112","47.62463","-122.30704","CENTRAL","3","1909","3","1","29,243","29,243","0","29,243","29,243","0",,"47.59999847","48.5","1,419,140","1,393,076","89.80000305","90.59999847","Multifamily LR (1-4)","Multifamily Housing","17,552","Other","4,375","Restaurant","2,925","194,102",,"7,569","Compliant","No Issue","662,275","756,870","44","1.5","false"
"25425","2023","MATAE BELLTOWN","Multifamily MR (5-9)","5201700000","159 DENNY WAY","SEATTLE","WA","98109","47.61837","-122.35363","DOWNTOWN","7","2005","6","1","79,644","79,644","0","79,644","79,644","0","79","26.10000038","24.89999962","1,984,735","2,075,463","73","69.80000305","Multifamily MR (5-9)","Multifamily Housing","79,644","NA",,"NA",,"581,693",,,"Compliant","No Issue","1,984,735",,"11.5","0.14","false"
"25426","2023","VELO APARTMENTS - CAPITOL HILL","Multifamily MR (5-9)","5217200000","301 E ROY ST","SEATTLE","WA","98102","47.62487","-122.32768","EAST","3","1966","6","1","46,351","40,597","0","40,597","40,597","0","77","28.5","29.10000038","1,180,665","1,157,971","79.90000153","81.40000153","Multifamily MR (5-9)","Multifamily Housing","40,597","NA",,"NA",,"346,033",,,"Compliant","No Issue","1,180,665",,"6.8","0.17","false"
"25427","2023","MAX,THE","Multifamily LR (1-4)","5217500000","8520 EVANSTON AVE N","SEATTLE","WA","98103","47.69117","-122.35086","NORTHWEST","5","1998","4","1","36,666","30,174","6,492","36,666","30,174","6,492","89","26.29999924","26.5","800,274","794,441","73.69999695","74.30000305","Multifamily LR (1-4)","Multifamily Housing","27,861","Parking","6,492","Office","1,560","234,547",,,"Compliant","No Issue","800,274",,"4.6","0.15","false"
"25428","2023","MAXWELL","Multifamily MR (5-9)","5218000000","700 E DENNY WAY","SEATTLE","WA","98122","47.6189","-122.32318","EAST","3","2000","5","1","44,520","44,520","0","44,520","44,520","0","71","27.70000076","28","1,246,354","1,234,112","77.59999847","78.40000153","Multifamily MR (5-9)","Multifamily Housing","44,520","NA",,"NA",,"365,285",,,"Compliant","No Issue","1,246,354",,"7.2","0.16","false"
"25431","2023","PONDERAY APTS","Multifamily LR (1-4)","5226300030","5625 15TH AVE NE","SEATTLE","WA","98105","47.67025","-122.31232","NORTHEAST","4","1963","4","1","28,472","28,472","0","28,472","28,472","0","90","25.10000038","25.20000076","717,937","714,651","70.30000305","70.59999847","Multifamily LR (1-4)","Multifamily Housing","28,472","NA",,"NA",,"210,415",,,"Compliant","No Issue","717,937",,"4.2","0.15","false"
"25432","2023","DOLPHIN APTS","Multifamily LR (1-4)","5226300045","1413 NE RAVENNA BLVD","SEATTLE","WA","98105","47.67069","-122.31239","NORTHEAST","4","1960","4","1","20,884","20,884","0","24,696","24,696","0","54","36.90000153","37","914,371","910,116","103.1999969","103.6999969","Multifamily LR (1-4)","Multifamily Housing","24,696","NA",,"NA",,"267,987",,,"Compliant","No Issue","914,371",,"5.3","0.25","false"
"25433","2023","UNIVERSITY PARK APTS","Multifamily LR (1-4)","5226300065","5644 UNIVERSITY WAY NE","SEATTLE","WA","98105","47.67058","-122.31275","NORTHEAST","4","1978","4","1","31,900","27,267","0","27,267","27,267","0","75","32.70000076","33","899,463","892,469","91.59999847","92.40000153","Multifamily LR (1-4)","Multifamily Housing","27,267","NA",,"NA",,"263,618",,,"Compliant","No Issue","899,463",,"5.2","0.19","false"
"25435","2023","DAYSTAR RETIREMENT VILLAGE","Multifamily LR (1-4)","6882300020","2615 SW BARTON ST","SEATTLE","WA","98126","47.51996","-122.36712","DELRIDGE NEIGHBORHOODS","1","1990","2","1","89,549","89,549","0","89,549","89,549","0","48","43.40000153","44.09999847","3,953,082","3,887,540","92.5","93.80000305","Multifamily LR (1-4)","Multifamily Housing","89,549","NA",,"NA",,"710,901",,"15,275","Compliant","No Issue","2,425,594","1,527,490","95","1.06","false"
"25436","2023","WESTWOOD HEIGHTS EAST","Multifamily LR (1-4)","6882500035","9440 27TH AVE SW","SEATTLE","WA","98126","47.51789","-122.36689","DELRIDGE NEIGHBORHOODS","1","1997","3","2","36,260","36,260","0","36,260","36,260","0","57","35.09999847","35.5","1,288,434","1,274,290","98.40000153","99.5","Multifamily LR (1-4)","Multifamily Housing","36,260","NA",,"NA",,"377,618",,,"Compliant","No Issue","1,288,434",,"7.5","0.21","false"
"25438","2023","1317 6TH AVENUE N APTS","Multifamily LR (1-4)","6889900015","1317 6TH AVE N","SEATTLE","WA","98109","47.63107","-122.3454","MAGNOLIA / QUEEN ANNE","7","1989","4","1","29,280","24,696","0","29,280","24,696","4,584","97","30.60000038","31.60000038","781,092","756,138","61.40000153","63.40000153","Multifamily LR (1-4)","Multifamily Housing","24,696","Parking","4,584","NA",,"124,826",,"3,552","Compliant","No Issue","425,907","355,190","21.3","0.86","false"
"25447","2023","THE PRESS","Multifamily MR (5-9)","6891500000","1610 BELMONT AVE","SEATTLE","WA","98122","47.6156","-122.32415","EAST","3","2001","6","1","119,486","119,486","0","119,486","119,486","0","96","23.39999962","23.70000076","2,831,422","2,796,301","65.5","66.40000153","Multifamily MR (5-9)","Multifamily Housing","119,486","NA",,"NA",,"829,842",,,"Compliant","No Issue","2,831,423",,"16.4","0.14","false"
"25451","2023","YALE STREET LANDING","NonResidential","4088803010","1001 FAIRVIEW AVE N","SEATTLE","WA","98109","47.62902","-122.33173","LAKE UNION","7","1978","2","1","26,519","26,519","0","26,519","26,519","0",,"153.3000031","155.6999969","4,128,885","4,064,663","311.8999939","314.5","Restaurant","Restaurant","13,592","Office","12,927","NA",,"670,632",,"18,407","Compliant","No Issue","2,288,195","1,840,690","110.8","4.18","false"
