"OSEBuildingID","DataYear","BuildingName","BuildingType","TaxParcelIdentificationNumber","Address","City","State","ZipCode","Latitude","Longitude","Neighborhood","CouncilDistrictCode","YearBuilt","NumberofFloors","NumberofBuildings","PropertyGFATotal","PropertyGFABuildings","PropertyGFAParking","SelfReportGFATotal","SelfReportGFABuildings","SelfReportParking","ENERGYSTARScore","SiteEUIWN(kBtu/sf)","SiteEUI(kBtu/sf)","SiteEnergyUse(kBtu)","SiteEnergyUseWN(kBtu)","SourceEUIWN(kBtu/sf)","SourceEUI(kBtu/sf)","EPAPropertyType","LargestPropertyUseType","LargestPropertyUseTypeGFA","SecondLargestPropertyUseType","SecondLargestPropertyUseTypeGFA","ThirdLargestPropertyUseType","ThirdLargestPropertyUseTypeGFA","Electricity(kWh)","SteamUse(kBtu)","NaturalGas(therms)","ComplianceStatus","ComplianceIssue","Electricity(kBtu)","NaturalGas(kBtu)","TotalGHGEmissions","GHGEmissionsIntensity","Demolished"
"17","2024","EXECUTIVE HOTEL PACIFIC","NonResidential","942000210","400 SPRING ST","SEATTLE","WA","98104","47.60699","-122.33346","DOWNTOWN","7","1928","9","1","65,009","65,009","0","65,009","65,009","0","91","72.5","72.40000153","4,707,694","4,712,478","110.4000015","110.1999969","Hotel","Hotel","59,021","Restaurant","5,288","Fast Food Restaurant","700","342,137","1,157,057","23,833","Compliant","No Issue","1,167,371","2,383,270","226.8","3.49","false"
"18","2024","CROWNE PLAZA","NonResidential","942000235","1113 6TH AVE","SEATTLE","WA","98101","47.60809","-122.33212","DOWNTOWN","7","1980","33","1","353,111","295,511","57,600","353,111","295,511","57,600","92","53.09999847","53.09999847","15,684,455","15,684,455","121.1999969","121.1999969","Hotel","Hotel","295,511","Parking","57,600","NA",,"3,240,612",,"46,275","Compliant","No Issue","11,056,968","4,627,490","309.4","1.05","false"
"19","2024","HOTEL VINTAGE PARK","NonResidential","942000265","1100 5TH AVE","SEATTLE","WA","98101","47.60755","-122.33244","DOWNTOWN","7","1922","11","1","67,390","67,390","0","67,390","67,390","0","76","66.09999847","66.19999695","4,462,021","4,453,492","147.3000031","147.6999969","Hotel","Hotel","65,440","Restaurant","1,950","NA",,"881,960","2,803","14,500","Compliant","No Issue","3,009,248","1,449,970","94.5","1.4","false"
"21","2024","CENTRAL - SEATTLE PUBLIC LIBRARY","Nonresidential COS","942000275","1000 4TH AVE","SEATTLE","WA","98104","47.60649","-122.33297","DOWNTOWN","7","2004","11","1","412,000","355,000","57,000","414,987","365,987","49,000",,"37.59999847","37.79999924","13,818,198","13,776,015","102.8000031","103.1999969","Library","Library","364,913","Parking","49,000","Data Center","1,074","3,878,016","586,408",,"Compliant","No Issue","13,231,791",,"124.2","0.35","false"
"22","2024","DOWNTOWN SEATTLE YMCA","NonResidential","942000350","909 4TH AVE","SEATTLE","WA","98104","47.60546","-122.33279","DOWNTOWN","7","1930","6","1","103,911","103,911","0","97,231","97,231","0",,"52.29999924","52.29999924","5,085,859","5,085,859","146.5","146.5","Fitness Center/Health Club/Gym","Fitness Center/Health Club/Gym","87,231","Multifamily Housing","10,000","NA",,"1,490,575",,,"Compliant","No Issue","5,085,842","20","29.5","0.28","false"
"23","2024","RENAISSANCE MADISON HOTEL","NonResidential","942000430","515 MADISON ST","SEATTLE","WA","98104","47.60681","-122.33078","DOWNTOWN","7","1983","28","1","460,902","375,902","85,000","460,902","375,902","85,000","59","77.09999847","77.09999847","28,976,404","28,976,404","169.3000031","169.3000031","Hotel","Hotel","375,902","Parking","85,000","NA",,"5,561,435",,"100,008","Compliant","No Issue","18,975,616","10,000,790","640.1","1.7","false"
"24","2024","RAINIER CLUB (HISTORICAL LANDMARK)","NonResidential","942000510","810 4TH AVE","SEATTLE","WA","98104","47.60515","-122.33159","DOWNTOWN","7","1907","5","1","57,452","57,452","0","57,452","57,452","0",,"120.3000031","119","6,834,993","6,908,807","224.1000061","222.6999969","Mixed Use Property","Social/Meeting Hall","16,442","Restaurant","15,505","Office","9,741","898,894","1,625,119","21,428","Compliant","No Issue","3,067,027","2,142,850","263","4.58","false"
"25","2024","ARCTIC CLUB HOTEL - SEATTLE","NonResidential","942000610","700 3RD AVE","SEATTLE","WA","98104","47.60376","-122.33194","DOWNTOWN","7","1916","10","1","104,352","104,352","0","104,352","104,352","0","57","83.69999695","83.59999847","8,722,299","8,732,163","165.3000031","165","Hotel","Hotel","104,352","NA",,"NA",,"1,284,868","2,537,250","18,011","Compliant","No Issue","4,383,970","1,801,080","326.4","3.13","false"
"26","2024","KING COUNTY COURTHOUSE","NonResidential","942000860","516 3RD AVE","SEATTLE","WA","98104","47.60265","-122.33051","DOWNTOWN","1","1916","10","1","540,360","540,360","0","537,150","537,150","0","60","94.30000305","93.5","50,227,788","50,648,160","169.6999969","168.8999939","Courthouse","Courthouse","501,287","Barracks","35,863","NA",,"6,361,517",,"285,223","Compliant","No Issue","21,705,496","28,522,291","1,637.6","3.03","false"
"27","2024","KING COUNTY CORRECTIONAL FACILITY","NonResidential","942001010","500 5TH AVE","SEATTLE","WA","98104","47.60378","-122.32842","DOWNTOWN","7","1985","19","1","385,274","339,315","45,959","385,274","339,315","45,959",,"118.3000031","117.0999985","39,738,460","40,140,800","199.8999939","198.8999939","Prison/Incarceration","Prison/Incarceration","339,315","Parking","45,959","NA",,"4,313,645",,"250,203","Compliant","No Issue","14,718,157","25,020,300","1,411.4","4.16","false"
