Compliance Status,Data Year,Evanston Building ID,Property Name,Address 1,Postal Code,Primary Property Type - Self Selected,Property GFA - Self-Reported (ft²),Property Type,Year Built,Number of Buildings,ENERGY STAR Score,ENERGY STAR Certification - Year(s) Certified,Site Energy Use (kBtu),Source Energy Use (kBtu),Site EUI (kBtu/ft²),Source EUI (kBtu/ft²),Weather Normalized Site Energy Use (kBtu),Weather Normalized Source Energy Use (kBtu),Weather Normalized Site EUI (kBtu/ft²),Weather Normalized Source EUI (kBtu/ft²),Electricity Use - Grid Purchase and Generated from Onsite Renewable Systems (kWh),Electricity Use - Grid Purchase (kWh),Natural Gas Use (therms),District Steam Use (kBtu),Weather Normalized Site Electricity (kWh),Weather Normalized Site Natural Gas Use (therms),Green Power - Onsite (kWh),Green Power - Offsite (kWh),Electricity Use – Generated from Onsite Renewable Systems and Used Onsite (kWh),Water Score (Multifamily Only),Water Use (All Water Sources) (kgal),Water Use Intensity (All Water Sources) (gal/ft²),Total GHG Emissions (Kg CO2e),GHG Intensity (kg CO2e/sq ft),GHG Emissions Notes,ObjectId
Compliant,2019,100293,Evanston Terraces Condominium Association,1201 - 1229 Central Street,60201,Multifamily Housing,95400,Type 2,1980,4,96,Not Available,3047991,8534374,31.9,89.5,2955711,8275991,31,86.8,893315,893315,,Not Available,866269,Not Available,Not Available,0,Not Available,83,3400,35.64,492087,5.2,All-electric; no natural gas for emissions calculated,275
Compliant,2019,100357,AMITA Health St Francis Hospital Campus,355 Ridge Ave,60202,Hospital (General Medical & Surgical),763851,Type 1,1920,2,61,Not Available,151354111,254733871,198.1,333.5,148667193,251580089,194.6,329.4,16046230,16046231,966044,Not Available,15990542,"941,075",Not Available,0,Not Available,Not Available,19062,24.96,13970239,18.3,,276
Compliant,2019,100377,Leffingwell Building,825 Chicago Ave,60202,Mixed Use Property,28555,Type 3,1919,1,Not Available,Not Available,2535190,3806966,88.8,133.3,,,,,191763,191763,18809,Not Available,191190,Not Available,Not Available,0,Not Available,Not Available,952,33.35,205536,7.2,,277
Compliant,2019,100460,Binny's,1101-11 Chicago Ave,60202,Retail Store,32196,Type 3,1900,1,27,Not Available,3391525,5891983,105.3,183,3376826,5876549,104.9,182.5,390367,390367,20596,Not Available,390367,"20,449",Not Available,0,Not Available,Not Available,122,3.79,324430,10.1,,278
Compliant,2019,100542,708 Church Street,708 Church Street,60201,Office,50352,Type 2,1927,1,51,Not Available,6083260,8790774,120.8,174.6,,,,,402504,402504,47099,Not Available,401604,Not Available,Not Available,0,Not Available,Not Available,951,18.88,471886,9.4,,279
Compliant,2019,100623,The Grove of Evanston,500 Asbury Ave,60202,Outpatient Rehabilitation/Physical Therapy,36996,Type 3,1962,1,Not Available,Not Available,6522239,10476793,176.3,283.2,6332574,10194889,171.2,275.6,607677,607677,44488,Not Available,593818,"43,065",Not Available,0,Not Available,Not Available,3366,90.97,571040,15.4,,280
Compliant,2019,100626,The Cradle Society,2049 Ridge Avenue,60201-2794,Other - Public Services,37000,Type 3,1939,1,Not Available,Not Available,4878802,7930151,131.9,214.3,4776030,7750750,129.1,209.5,470174,470174,32746,Not Available,458201,"32,127",Not Available,0,Not Available,Not Available,435,11.76,432925,11.7,,281
Compliant,2019,100689,415 Premier - Greystar,415 HOWARD ST,60202,Multifamily Housing,350249,Type 1,2008,1,72,Not Available,16456978,36628810,47,104.6,16122261,35930801,46,102.6,3240493,3240493,54004,Not Available,3182453,"52,637",Not Available,0,Not Available,42,8311,23.73,2071882,5.9,,282
Compliant,2019,100706,1616,1616 Hinman Ave.,60201,Multifamily Housing,34400,Type 3,1960,1,62,Not Available,3606085,4636033,104.8,134.8,3500540,4525211,101.8,131.5,142295,142295,31206,Not Available,142295,"30,150",Not Available,0,Not Available,89,1023,29.75,244132,7.1,,283
Compliant,2019,100708,Family Properties of Chicago LLC,1745 Sherman Ave,60201,Multifamily Housing,30987,Type 3,1920,1,Not Available,Not Available,2323378,4644064,75,149.9,2282138,4595359,73.6,148.3,369204,369204,10637,Not Available,368299,"10,255",Not Available,0,Not Available,Not Available,92684,2991.05,259873,8.4,,284
Compliant,2019,100789,918,918 Washington,60201,Multifamily Housing,37600,Type 3,1960,1,84,Not Available,2969205,3826124,79,101.8,2917330,3749038,77.6,99.7,118650,118650,25644,Not Available,114862,"25,254",Not Available,0,Not Available,13,2285,60.78,201564,5.4,,285
Compliant,2019,100790,Vineyard Christian Church,2495 Howard Street,60202,Worship Facility,79000,Type 2,1955,1,47,Not Available,4906593,8206355,62.1,103.9,4714022,7912163,59.7,100.2,511545,511545,31612,Not Available,496138,"30,212",Not Available,0,Not Available,Not Available,439,5.55,449693,5.7,,286
Compliant,2019,100792,"JMED PROPERTIES, LLC.",1740 RIDGE AVENUE,60201,Office,26000,Type 3,1947,1,Not Available,Not Available,2140275,4151071,82.3,159.7,2096425,4105028,80.6,157.9,318838,318838,10524,Not Available,318838,"10,086",Not Available,0,Not Available,Not Available,,,231531,8.9,,287
Compliant,2019,100874,313,2301 Howard St.,60202,Retail Store,45567,Type 3,1994,1,29,Not Available,4144536,8423901,91,184.9,4056133,8322911,89,182.7,681986,681986,18176,Not Available,680618,"17,339",Not Available,0,Not Available,Not Available,248,5.44,472216,10.4,,288
Compliant,2019,100955,929 Michigan,929 - 935 Michigan,60202,Multifamily Housing,28374,Type 3,1931,1,Not Available,Not Available,3273145,3871108,115.4,136.4,3231858,3827757,113.9,134.9,72736,72736,30250,Not Available,72736,"29,837",Not Available,0,Not Available,Not Available,913,32.19,200737,7.1,,289
Compliant,2019,101121,2200 Sherman,2200-2210 Sherman Ave,60201,Multifamily Housing,50661,Type 2,1920,1,76,Not Available,3908686,4457131,77.2,88,3863294,4400876,76.3,86.9,59121,59121,37070,Not Available,57682,"36,665",Not Available,0,Not Available,87,939,18.53,229461,4.5,,290
Compliant,2019,101123,1000 Hinman,1000 Hinman,60202,Multifamily Housing,49520,Type 3,1931,1,49,Not Available,4649996,5531137,93.9,111.7,4568916,5446004,92.3,110,108632,108632,42793,Not Available,108632,"41,983",Not Available,0,Not Available,82,1199,24.22,287136,5.8,,291
Compliant,2019,101703,8729A,600 Emerson St,60208,Performing Arts,51572,Type 2,1941,1,Not Available,Not Available,,,,,,,,,,,,Not Available,,Not Available,Not Available,,Not Available,Not Available,,,0,0,Natural gas and electricity use included in parent property,292
Compliant,2019,101207,820 Church Street,820 Church Street,60201,Financial Office,26522,Type 3,1929,1,30,Not Available,4571522,7608689,172.4,286.9,,,,,470372,470372,29666,Not Available,463014,Not Available,Not Available,0,Not Available,Not Available,208,7.84,416677,15.7,,293
Compliant,2019,101288,WASHINGTON ELEMENTARY SCHOOL,914 ASHLAND AVENUE,60202,K-12 School,76798,Type 2,1901,1,40,Not Available,6269185,9408144,81.6,122.5,6173878,9308073,80.4,121.2,473204,473204,46546,Not Available,473204,"45,593",Not Available,0,Not Available,Not Available,608,7.92,507894,6.6,,294
Compliant,2019,101289,U-Haul Moving & Storage of Evanston (758076),2125 Dempster St,60201,Self-Storage Facility,55321,Type 2,1997,2,Not Available,Not Available,3215486,4806029,58.1,86.9,3079140,4628846,55.7,83.7,239452,239452,23985,Not Available,233755,"22,816",Not Available,0,Not Available,Not Available,32,0.58,259297,4.7,,295
Compliant,2019,101371,The Presidential,800 N. Hinman Avenue,60202,Multifamily Housing,82094,Type 2,1975,1,67,Not Available,5366583,10338007,82.8,159.6,5245202,10079969,81,155.6,787656,787656,26791,Not Available,765786,"26,323",Not Available,0,Not Available,81,2763,42.65,576183,7,,296
Compliant,2019,101786,LINCOLN ELEMENTARY SCHOOL,910 FOREST AVENUE,60201,K-12 School,73437,Type 2,1953,1,61,Not Available,4780687,7675646,65.1,104.5,4622001,7509025,62.9,102.3,444804,444804,32630,Not Available,444804,"31,043",Not Available,0,Not Available,Not Available,761,10.36,418336,5.7,,297
Compliant,2019,101869,2108-2118 Sherman,2108-18 Sherman Ave,60201,Multifamily Housing,54700,Type 2,1931,1,92,Not Available,3425996,3686236,62.6,67.4,3328748,3583874,60.9,65.5,14895,14895,33752,Not Available,14853,"32,781",Not Available,0,Not Available,62,1195,21.85,187476,3.4,,298
Compliant,2019,101934,00439-Evanston 18 / Cinearts 6,1715 Maple Ave.,60201,Movie Theater,67990,Type 2,2000,1,Not Available,Not Available,7227015,18583467,106.3,273.3,7046520,18160486,103.6,267.1,1841417,1841417,9441,Not Available,1802318,"8,970",Not Available,0,Not Available,Not Available,23,0.34,1064499,15.7,,299
Compliant,2019,101952,Castle Tower,2212-26 Sherman,60201,Multifamily Housing,74800,Type 2,1928,1,67,Not Available,6275883,7560586,83.9,101.1,6243188,7508905,83.5,100.4,162604,162604,57211,Not Available,159698,"56,983",Not Available,0,Not Available,47,3227,43.14,393443,5.3,,300
Compliant,2019,101953,2214 Maple,2210-2222 Maple/1010 Noyes,60201,Multifamily Housing,48600,Type 3,1920,1,63,Not Available,4232132,4916343,87.1,101.2,4192179,4862877,86.3,100.1,79150,79150,39621,Not Available,77221,"39,287",Not Available,0,Not Available,81,1193,24.54,254044,5.2,,301
Compliant,2019,102036,231 Ridge Avenue - Urban Equities,231 Ridge Avenue,60202,Multifamily Housing,52300,Type 2,1940,1,13,Not Available,6795987,8140676,129.9,155.7,6754019,8071914,129.1,154.3,168295,168295,62218,Not Available,164159,"61,939",Not Available,0,Not Available,48,2300,43.98,423172,8.1,,302
Compliant,2019,102183,FSP 909 DAVIS STREET LLC,909 Davis Street,60201,Office,215400,Type 1,2000,1,86,"2019, 2018, 2017, 2016, 2015",8691132,24335169,40.3,113,8503275,23809169,39.5,110.5,2547225,2547225,,Not Available,2492167,Not Available,Not Available,0,Not Available,Not Available,2314,10.74,1403152,6.5,All-electric; no natural gas for emissions calculated,303
Compliant,2019,102201,Main Campus,2121 Sheridan Rd,60201,Other - Education,163575,Type 1,1926,6,Not Available,Not Available,24562698,39348390,150.2,240.6,24402944,39015868,149.2,238.5,1798270,1798270,,"18,427,002",1772515,Not Available,Not Available,0,Not Available,Not Available,3221,19.69,990586,6.1,Natural gas use included in parent property,304
Compliant,2019,102349,1500 Chicago Avenue,1500 Chicago Avenue,60201,Multifamily Housing,135200,Type 1,1959,1,81,Not Available,11194887,15282961,82.8,113,,,,,590911,590911,91787,Not Available,575531,Not Available,Not Available,0,Not Available,44,6066,44.87,813028,6,,305
Compliant,2019,102366,Auto Fitness Center,1320 Dodge,60201,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",13186,Type 3,1990,1,Not Available,Not Available,1704494,2408100,129.3,182.6,,,,,103564,103564,13511,Not Available,103564,Not Available,Not Available,0,Not Available,Not Available,0,0.02,128814,9.8,,306
Compliant,2019,102450,Hill Board of Education,1500 McDaniel,60201,Office,71010,Type 2,2000,1,40,Not Available,10223484,16873370,144,237.6,10069470,16691152,141.8,235.1,1028088,1028088,67156,Not Available,1024654,"65,734",Not Available,0,Not Available,Not Available,668,9.41,923026,13,,307
Compliant,2019,102451,Corinthian Condominium Association,2242 Sherman Ave,60201,Multifamily Housing,41800,Type 3,1942,1,76,Not Available,3610271,4500695,86.4,107.7,3576390,4445367,85.6,106.3,118893,118893,32046,Not Available,115585,"31,820",Not Available,0,Not Available,83,1252,29.96,235704,5.6,,308
Compliant,2019,102535,1326 Apartments,1326 Chicago Ave,60201,Multifamily Housing,22486,Type 3,1969,1,Not Available,Not Available,1532470,1994032,68.2,88.7,1499350,1948532,66.7,86.7,64468,64468,13125,Not Available,62672,"12,855",Not Available,0,Not Available,Not Available,509,22.62,105226,4.7,,309
Compliant,2019,102600,8844,2020 Ridge Ave,60208,Office,112496,Type 1,1925,1,1,Not Available,36382802,92610072,323.4,823.2,36352240,92577982,323.1,822.9,9112063,9112062,52924,Not Available,9112062,"52,619",Not Available,0,Not Available,Not Available,577,5.13,5300531,47.1,,310
Compliant,2019,102615,First Congregational Church of Evanston,1417 Hinman Ave,60201,Office,28275,Type 3,1926,1,Not Available,Not Available,1950989,2297302,69,81.2,1915981,2260544,67.8,79.9,41662,41662,18088,Not Available,41662,"17,738",Not Available,0,Not Available,Not Available,192,6.8,119025,4.2,,311
Compliant,2019,102618,Family Properties LLC (822 Wesley Ave),822 Wesley Ave,60202,Multifamily Housing,21000,Type 3,1920,1,Not Available,Not Available,2330705,2736213,111,130.3,2308732,2700181,109.9,128.6,48396,48396,21656,Not Available,46225,"21,510",Not Available,0,Not Available,Not Available,489,23.3,141683,6.7,,312
Compliant,2019,102700,Michigan & Lee Condominiums,940-950 Michigan Avenue,60201,Multifamily Housing,49000,Type 3,1929,1,71,Not Available,3989718,4796109,81.4,97.9,,,,,101642,101642,36429,Not Available,101642,Not Available,Not Available,0,Not Available,95,861,17.57,249482,5.1,,313
Compliant,2019,102781,1320 CHICAGO APARTMENTS,1320 Chicago Ave,60201,Multifamily Housing,33228,Type 3,1958,1,89,Not Available,2055094,2560085,61.8,77,2028909,2519632,61.1,75.8,67365,67365,18252,Not Available,65195,"18,065",Not Available,0,Not Available,66,869,26.16,134055,4,,314
Compliant,2019,102847,"CPF Reserve, LLC",1930 Ridge Ave,60201,Multifamily Housing,199704,Type 1,2002,4,90,2019,10406817,20086602,52.1,100.6,10220895,19891383,51.2,99.6,1533988,1533988,51728,Not Available,1533988,"49,869",Not Available,0,Not Available,14,12824,64.22,1119758,5.6,,315
Compliant,2019,102947,PARK SCHOOL,828 MAIN STREET,60202,K-12 School,35367,Type 3,1959,1,66,Not Available,2711538,4185062,76.7,118.3,2656388,4100250,75.1,115.9,224074,224074,19470,Not Available,219568,"19,072",Not Available,0,Not Available,Not Available,299,8.46,226846,6.4,,316
Compliant,2019,103031,Claridge,1615-1625 Ridge Ave,60201,Multifamily Housing,56286,Type 2,1900,1,86,Not Available,5246490,6177137,93.2,109.7,5163789,6070416,91.7,107.8,111928,111928,48646,Not Available,108598,"47,933",Not Available,0,Not Available,51,3453,61.34,320036,5.7,,317
Compliant,2019,103032,910 Judson,910 Judson,60202,Multifamily Housing,43896,Type 3,1931,1,66,Not Available,3572136,4261413,81.4,97.1,3506556,4171279,79.9,95,85525,85525,32803,Not Available,81962,"32,269",Not Available,0,Not Available,89,891,20.29,221345,5,,318
Compliant,2019,103116,Central Bennett West,2619-29 Central Street,60201,Multifamily Housing,24192,Type 3,1948,1,Not Available,Not Available,1219702,1641270,50.4,67.8,1214197,1625854,50.2,67.2,60389,60389,10137,Not Available,58775,"10,137",Not Available,0,Not Available,Not Available,689,28.48,87105,3.6,,319
Compliant,2019,103280,Westminster Place - 1020 Grove,1020 Grove St.,60201,Senior Care Community,72000,Type 2,1960,1,90,Not Available,3816833,10414099,53,144.6,3722046,10160077,51.7,141.1,1072923,1072923,1560,Not Available,1047049,"1,495",Not Available,0,Not Available,Not Available,671,9.32,599312,8.3,,320
Compliant,2019,103281,ORRINGTON ELEMENTARY SCHOOL,2636 ORRINGTON AVENUE,60201,K-12 School,46933,Type 3,1911,1,67,Not Available,2937548,4569395,62.6,97.4,2892291,4519793,61.6,96.3,248697,248697,20890,Not Available,248348,"20,449",Not Available,0,Not Available,Not Available,396,8.44,247952,5.3,,321
Compliant,2019,103345,900 Chicago Condominiums,900 Chicago Avenue,60202,Multifamily Housing,119368,Type 1,2005,1,87,Not Available,8198450,14267221,68.7,119.5,8081939,13971871,67.7,117,947722,947722,49648,Not Available,918746,"49,472",Not Available,0,Not Available,14,6306,52.83,785761,6.6,,322
Compliant,2019,103696,2300 Sherman,2300 Sherman Avenue,60201,Multifamily Housing,45735,Type 3,1960,1,95,Not Available,1683026,3644268,36.8,79.7,,,,,314368,314368,6104,Not Available,306369,Not Available,Not Available,0,Not Available,96,1044,22.83,205592,4.5,,323
Compliant,2019,104092,Evanston Metro Center,1007 Church Street,60201,Office,170933,Type 1,1984,1,59,Not Available,12301560,34444369,72,201.5,12113506,33917818,70.9,198.4,3605381,3605381,,Not Available,3550265,Not Available,Not Available,0,Not Available,Not Available,1873,10.96,1986042,11.6,All-electric; no natural gas for emissions calculated,324
