Compliance Status,Data Year,Evanston Building ID,Property Name,Address 1,Postal Code,Primary Property Type - Self Selected,Property GFA - Self-Reported (ft²),Property Type,Year Built,Number of Buildings,ENERGY STAR Score,ENERGY STAR Certification - Year(s) Certified,Site Energy Use (kBtu),Source Energy Use (kBtu),Site EUI (kBtu/ft²),Source EUI (kBtu/ft²),Weather Normalized Site Energy Use (kBtu),Weather Normalized Source Energy Use (kBtu),Weather Normalized Site EUI (kBtu/ft²),Weather Normalized Source EUI (kBtu/ft²),Electricity Use - Grid Purchase and Generated from Onsite Renewable Systems (kWh),Electricity Use - Grid Purchase (kWh),Natural Gas Use (therms),District Steam Use (kBtu),Weather Normalized Site Electricity (kWh),Weather Normalized Site Natural Gas Use (therms),Green Power - Onsite (kWh),Green Power - Offsite (kWh),Electricity Use – Generated from Onsite Renewable Systems and Used Onsite (kWh),Water Score (Multifamily Only),Water Use (All Water Sources) (kgal),Water Use Intensity (All Water Sources) (gal/ft²),Total GHG Emissions (Kg CO2e),GHG Intensity (kg CO2e/sq ft),GHG Emissions Notes,ObjectId
Compliant,2019,105520,818-822 Noyes Street,818-822 Noyes Street,60201,Multifamily Housing,32889,Type 3,1950,1,96,Not Available,1149020,2496929,34.9,75.9,1124335,2427811,34.2,73.8,216121,216121,4116,Not Available,208886,"4,116",Not Available,0,Not Available,84,889,27.03,140914,4.3,,232
Compliant,2019,105521,"Chicago II Evanston, LLC",1410 Chicago,60201,Multifamily Housing,61600,Type 2,1958,1,51,Not Available,5655698,7316452,91.8,118.8,5471358,7089522,88.8,115.1,230777,230777,48683,Not Available,225188,"47,030",Not Available,0,Not Available,64,2219,36.01,385701,6.3,,233
Compliant,2019,105522,1940 Sherman,1940 Sherman Ave,60201,Multifamily Housing,55580,Type 2,1934,1,90,Not Available,3166493,4287230,57,77.1,,,,,161181,161181,26165,Not Available,155150,Not Available,Not Available,0,Not Available,55,1785,32.11,227764,4.1,,234
Compliant,2019,105586,EVANSTON (0927),2209 HOWARD ST,60202,Retail Store,132223,Type 1,1994,1,73,2014,10442140,22078392,79,167,10226789,21693522,77.3,164.1,1861354,1861354,40912,Not Available,1834767,"39,666",Not Available,0,Not Available,Not Available,1036,7.84,1242638,9.4,,235
Compliant,2019,105603,8578,1855 Sheridan Rd,60201,Residence Hall/Dormitory,31570,Type 3,1981,1,Not Available,Not Available,1111033,3110892,35.2,98.5,1111033,3110892,35.2,98.5,325625,325625,,Not Available,325625,Not Available,Not Available,0,Not Available,Not Available,1763,55.84,179372,5.7,Natural gas use included in parent property,236
Compliant,2019,105604,"Hinman IV, LLC",860 Hinman,60202,Multifamily Housing,91600,Type 2,1922,1,39,Not Available,5330434,12031765,58.2,131.4,5236352,11833327,57.2,129.2,1077677,1077677,16534,Not Available,1060987,"16,163",Not Available,0,Not Available,15,5640,61.57,681463,7.4,,237
Compliant,2019,105605,8879,640 Lincoln St,60201,College/University,43603,Type 3,1950,1,Not Available,Not Available,3976235,4175047,91.2,95.8,3900020,4095021,89.4,93.9,,,39762,Not Available,,"39,000",Not Available,,Not Available,Not Available,30,0.69,211196,4.8,Electricity use included in parent property,238
Compliant,2019,105669,8864,1201 Davis St,60201,Office,97472,Type 2,1940,1,13,Not Available,14756463,23528029,151.4,241.4,14672171,23439523,150.5,240.5,1345460,1345460,101658,Not Available,1345460,"100,815",Not Available,0,Not Available,Not Available,1502,15.41,1281102,13.1,,239
Compliant,2019,105686,8832,555 Clark St,60208,College/University,31526,Type 3,1978,1,Not Available,Not Available,4407090,6811164,139.8,216,4407090,6811164,139.8,216,365721,365721,31592,Not Available,365721,"31,593",Not Available,0,Not Available,Not Available,1417,44.95,369261,11.7,,240
Compliant,2019,105752,8920 / 8856,1801 Maple Ave,60208,Laboratory,129346,Type 1,1987,1,Not Available,Not Available,33192609,60207014,256.6,465.5,33077289,60033034,255.7,464.1,4246320,4246319,187042,Not Available,4237461,"186,191",Not Available,0,Not Available,Not Available,2506,19.37,3332569,25.8,,241
Compliant,2019,105770,550 Sheridan Square,550 Sheridan Square,60202,Multifamily Housing,46143,Type 3,1967,1,79,Not Available,1955565,4975223,42.4,107.8,1901980,4845134,41.2,105,489345,489345,2859,Not Available,476981,"2,745",Not Available,0,Not Available,87,1239,26.84,284745,6.2,,242
Compliant,2019,105771,803 Dobson St,801-809 Dobson St,60202,Multifamily Housing,34308,Type 3,1928,1,66,Not Available,2572632,3787060,75,110.4,2494911,3670490,72.7,107,181845,181845,19522,Not Available,175990,"18,944",Not Available,0,Not Available,79,1186,34.56,203859,5.9,,243
Compliant,2019,105835,70800558 -- Evanston,2400 W Main St,60202,Supermarket/Grocery Store,62182,Type 2,2004,1,69,Not Available,10531253,22701269,169.4,365.1,10471735,22620342,168.4,363.8,1950001,1950000,38779,Not Available,1946913,"38,289",Not Available,0,Not Available,Not Available,2985,48.01,1280138,20.6,,244
Compliant,2019,105852,8738,1897 Sheridan Rd,60208,College/University,31535,Type 3,1869,1,Not Available,Not Available,3861878,4760821,122.5,151,3861878,4760821,122.5,151,118213,118213,34585,Not Available,118213,"34,585",Not Available,0,Not Available,Not Available,162,5.14,248817,7.9,,245
Compliant,2019,105918,Fire Station #1,1332 Emerson St.,60201,Fire Station,14628,Type 3,1998,1,Not Available,Not Available,1658670,2594979,113.4,177.4,1611225,2545161,110.1,174,142920,142920,11710,Not Available,142920,"11,236",Not Available,0,Not Available,Not Available,233,15.93,140927,9.6,,246
Compliant,2019,105936,Robert Crown Center,1701 Main St.,60202,Other - Recreation,54500,Type 2,1974,1,Not Available,Not Available,12544903,26874196,230.2,493.1,12461887,26676717,228.7,489.5,2294766,2294766,47152,Not Available,2276291,"46,952",Not Available,0,Not Available,Not Available,2657,48.75,1514527,27.8,,247
